lat,lon,addr:street,addr:housenumber,fixme
50.9350230311,3.01462904945,Bessenweg,1,
50.9353800984,3.01528862768,Bessenweg,10,
50.9348997282,3.01534388396,Bessenweg,11,
50.9353795158,3.01545668348,Bessenweg,12,
50.9348854713,3.01545655701,Bessenweg,13,
50.9353586882,3.01558434475,Bessenweg,14,
50.9348706603,3.01556796541,Bessenweg,15,
50.9353366941,3.01572783318,Bessenweg,16,
50.9353997182,3.01469700825,Bessenweg,2,
50.9349891876,3.01478184306,Bessenweg,3,
50.9353778429,3.01484291268,Bessenweg,4,
50.9349671312,3.01494326036,Bessenweg,5,
50.935380889,3.01502153525,Bessenweg,6,
50.9349533245,3.01507157197,Bessenweg,7,
50.935392464,3.01516007196,Bessenweg,8,
50.9349328243,3.01520420276,Bessenweg,9,
