lat,lon,addr:street,addr:housenumber
50.9383089348,3.06571717685,Brabandstraat,11
50.9381379108,3.0658044542,Brabandstraat,13
50.9379662466,3.06589075266,Brabandstraat,15
50.9405100279,3.0635450575,Brabandstraat,16
50.9377952083,3.06597674852,Brabandstraat,17
50.9376089914,3.06607227161,Brabandstraat,19
50.9407740763,3.06216836055,Brabandstraat,2
50.9385763018,3.06628376531,Brabandstraat,20
50.9358497073,3.0660648949,Brabandstraat,21
50.938282176,3.06662090741,Brabandstraat,22
50.935595243,3.06594873893,Brabandstraat,23
50.9380274449,3.06678093788,Brabandstraat,24
50.9340499125,3.06935910126,Brabandstraat,25
50.9377129602,3.06678169318,Brabandstraat,26
50.9341377603,3.06936805182,Brabandstraat,27
50.9345054124,3.07069673706,Brabandstraat,30
50.9332476536,3.07083011596,Brabandstraat,36
50.9402342931,3.06213742523,Brabandstraat,5
50.9405399392,3.06235261071,Brabandstraat,6
50.9390526715,3.0652981033,Brabandstraat,7
50.9404838144,3.06288466444,Brabandstraat,8
50.9384863416,3.06562986393,Brabandstraat,9
