lat,lon,addr:street,addr:housenumber
50.9784712885,3.00945896555,Charles Ampestraat,1
50.9794957224,3.01080931413,Charles Ampestraat,10
50.9792758939,3.01228971399,Charles Ampestraat,11
50.9795507384,3.01094116809,Charles Ampestraat,12
50.9793117008,3.01262720772,Charles Ampestraat,13
50.9795984452,3.01107850351,Charles Ampestraat,14
50.9791982269,3.01308651326,Charles Ampestraat,15
50.9796417105,3.01122052523,Charles Ampestraat,16
50.9796827436,3.01136389359,Charles Ampestraat,18
50.9785779273,3.00971663935,Charles Ampestraat,1B
50.9786613522,3.00991830502,Charles Ampestraat,1C
50.9787235664,3.01008170607,Charles Ampestraat,1D
50.9790576974,3.00992148897,Charles Ampestraat,2
50.9797194771,3.01150866843,Charles Ampestraat,20
50.9797157839,3.01171072699,Charles Ampestraat,22
50.9797134666,3.01223489984,Charles Ampestraat,26
50.9797901039,3.0124720913,Charles Ampestraat,28
50.9787434464,3.00949878622,Charles Ampestraat,2A
50.978955343,3.01173316083,Charles Ampestraat,3
50.9798142491,3.01273387361,Charles Ampestraat,30
50.9792055836,3.01015418809,Charles Ampestraat,4A
50.9792824685,3.01038908783,Charles Ampestraat,4B
50.9789967883,3.01186554943,Charles Ampestraat,5
50.9793413051,3.01056369816,Charles Ampestraat,6
50.9792335922,3.01192705817,Charles Ampestraat,7
50.9794283981,3.01067824421,Charles Ampestraat,8
50.9792575117,3.01209897748,Charles Ampestraat,9
