lat,lon,addr:street,addr:housenumber
50.9409018113,3.05649127978,Cockstraat,1
50.9402377196,3.05590778217,Cockstraat,10
50.9402651316,3.05553661165,Cockstraat,12
50.9398340052,3.05230272555,Cockstraat,13
50.9401698151,3.05532597319,Cockstraat,14
50.9398231731,3.05211420052,Cockstraat,15
50.9398975861,3.0556567495,Cockstraat,16
50.9398114343,3.05194106914,Cockstraat,17
50.9401201205,3.05495795734,Cockstraat,18
50.9398001736,3.05178656539,Cockstraat,19
50.9399672783,3.05486134659,Cockstraat,20
50.9398172432,3.05456544143,Cockstraat,22
50.9393101402,3.04841623035,Cockstraat,23
50.9383988521,3.05635023955,Cockstraat,24
50.9389317266,3.05540800431,Cockstraat,26
50.9396857839,3.05399310384,Cockstraat,26A
50.9382087167,3.05416297,Cockstraat,28
50.9391171475,3.05459030944,Cockstraat,28A
50.940771345,3.05593454909,Cockstraat,3
50.9393189343,3.05152458378,Cockstraat,30
50.9393288708,3.05106340786,Cockstraat,32
50.9405472201,3.05646718468,Cockstraat,4
50.9407286282,3.05541834048,Cockstraat,5
50.9406242875,3.05508400954,Cockstraat,5A
50.9402297005,3.05661494623,Cockstraat,6
50.9405430378,3.05481278381,Cockstraat,7
50.9404568417,3.05454952398,Cockstraat,7A
50.9401545299,3.05632419765,Cockstraat,8
50.9403271178,3.05419669743,Cockstraat,9
