lat,lon,addr:street,addr:housenumber,fixme
50.9286893235,3.05785382685,Colliemolenstraat,12,
50.9277823605,3.05747669655,Colliemolenstraat,15,
50.92906147,3.05860568929,Colliemolenstraat,16,
50.9287209673,3.0588051141,Colliemolenstraat,18,
50.9282908861,3.0588081524,Colliemolenstraat,19,
50.9288379577,3.05907328936,Colliemolenstraat,20,
50.92853801,3.05957203823,Colliemolenstraat,21,
50.9289866166,3.05934342791,Colliemolenstraat,24,
50.928581301,3.06010901269,Colliemolenstraat,25,
50.9291985237,3.0597224866,Colliemolenstraat,28,
50.9293866598,3.06025998393,Colliemolenstraat,30,
50.9297525286,3.06038451249,Colliemolenstraat,32,
50.9304412498,3.07342486459,Colliemolenstraat,42,
50.9280623939,3.05713584,Colliemolenstraat,6,
50.9274058831,3.05685301817,Colliemolenstraat,9,
