lat,lon,addr:street,addr:housenumber
50.9770714669,3.0126946978,Diksmuidestraat,1
50.9756411134,3.0110238906,Diksmuidestraat,10
50.9815863466,3.00675087567,Diksmuidestraat,100
50.9816659086,3.00676594064,Diksmuidestraat,102
50.9804007199,3.00872282618,Diksmuidestraat,103
50.9817181832,3.00672269133,Diksmuidestraat,104
50.9804632465,3.00872642471,Diksmuidestraat,105
50.9817900762,3.00670436639,Diksmuidestraat,106
50.9804791324,3.00859180197,Diksmuidestraat,107
50.9818682856,3.00664142076,Diksmuidestraat,108
50.9805951708,3.00860467227,Diksmuidestraat,109
50.9764012536,3.01169228652,Diksmuidestraat,11
50.9819544591,3.00682378779,Diksmuidestraat,110
50.9807203693,3.00850775347,Diksmuidestraat,111
50.9820152045,3.00675892814,Diksmuidestraat,112
50.9820735472,3.00678942206,Diksmuidestraat,114
50.9822509304,3.00666491511,Diksmuidestraat,116
50.9823738242,3.00584110038,Diksmuidestraat,118
50.9811198604,3.00788103342,Diksmuidestraat,119
50.9827769865,3.00582738768,Diksmuidestraat,120
50.9813024013,3.00804693051,Diksmuidestraat,121
50.982847114,3.00518327573,Diksmuidestraat,124
50.9817074411,3.00767469574,Diksmuidestraat,125
50.9829100492,3.00509798153,Diksmuidestraat,126
50.9818843682,3.00744851364,Diksmuidestraat,127
50.9829887064,3.0050427099,Diksmuidestraat,128
50.9819636926,3.00740419471,Diksmuidestraat,129
50.9765098513,3.01169925504,Diksmuidestraat,13
50.9830632173,3.00483914612,Diksmuidestraat,130
50.9820518941,3.00742000707,Diksmuidestraat,131
50.9832291044,3.00466155191,Diksmuidestraat,132
50.9820636006,3.00732837127,Diksmuidestraat,133
50.9833815789,3.00447480379,Diksmuidestraat,134
50.9823037679,3.00724519902,Diksmuidestraat,135
50.983549619,3.00422706788,Diksmuidestraat,136
50.9822804979,3.00705231502,Diksmuidestraat,137
50.9837201247,3.00402141844,Diksmuidestraat,138
50.9824342854,3.007126327,Diksmuidestraat,139
50.9760703854,3.0105147396,Diksmuidestraat,14
50.9838423603,3.0038476533,Diksmuidestraat,140
50.9825523309,3.00698630977,Diksmuidestraat,141
50.9839751172,3.00368184208,Diksmuidestraat,142
50.9827052517,3.00681451412,Diksmuidestraat,143
50.9843011444,3.00395536704,Diksmuidestraat,144
50.9828006275,3.00653357878,Diksmuidestraat,145
50.9842852902,3.00350317254,Diksmuidestraat,146
50.983077912,3.00648806381,Diksmuidestraat,147
50.9845405521,3.00338065235,Diksmuidestraat,148
50.9832370021,3.00634442909,Diksmuidestraat,149
50.9765502802,3.01156421929,Diksmuidestraat,15
50.9846468864,3.00283615905,Diksmuidestraat,150
50.9849821944,3.00392500238,Diksmuidestraat,153
50.9859118656,3.00029721847,Diksmuidestraat,154
50.9851310979,3.00367852534,Diksmuidestraat,155
50.9852142133,3.0035271163,Diksmuidestraat,157
50.9852858643,3.00339498474,Diksmuidestraat,159
50.9853722635,3.00323991811,Diksmuidestraat,161
50.9869438193,2.99936244594,Diksmuidestraat,162
50.9857396565,3.00276258894,Diksmuidestraat,163
50.9869963673,2.99902617094,Diksmuidestraat,164
50.9860076297,3.0022636502,Diksmuidestraat,165
50.9881609183,2.99624720888,Diksmuidestraat,166
50.9872001605,3.00046929209,Diksmuidestraat,167
50.9888773844,2.99582324726,Diksmuidestraat,168
50.9892390267,2.99492505327,Diksmuidestraat,168A
50.9874240155,3.00012801584,Diksmuidestraat,169
50.9765005219,3.01121006079,Diksmuidestraat,17
50.9892795454,2.99426033504,Diksmuidestraat,170
50.9874759799,2.99996553712,Diksmuidestraat,171
50.9890232858,2.99381172645,Diksmuidestraat,172
50.987536468,2.99973201436,Diksmuidestraat,173
50.989529146,2.99454689254,Diksmuidestraat,174
50.9876478651,2.99937678091,Diksmuidestraat,175
50.989380845,2.99206591287,Diksmuidestraat,176
50.987752654,2.99917999513,Diksmuidestraat,177
50.9896299079,2.99152212898,Diksmuidestraat,178
50.9885065278,2.99769803058,Diksmuidestraat,179
50.9762260603,3.01026955871,Diksmuidestraat,18
50.9890596411,2.9965415509,Diksmuidestraat,181
50.9893781342,2.99605188742,Diksmuidestraat,183
50.9902422987,2.99460960782,Diksmuidestraat,185
50.9766796693,3.01154979383,Diksmuidestraat,19
50.9756491999,3.01156893567,Diksmuidestraat,2
50.9765139854,3.01057708419,Diksmuidestraat,20
50.976885451,3.01096408107,Diksmuidestraat,21
50.9766042079,3.01046424533,Diksmuidestraat,22
50.9766801523,3.01036848168,Diksmuidestraat,24
50.9772282969,3.01055397503,Diksmuidestraat,25
50.9767298351,3.01030309999,Diksmuidestraat,26
50.9773905361,3.01068271713,Diksmuidestraat,27
50.9767628348,3.0102567149,Diksmuidestraat,28
50.9774483698,3.01063803346,Diksmuidestraat,29
50.976158875,3.01189582522,Diksmuidestraat,3
50.976862255,3.01011512605,Diksmuidestraat,30
50.977503306,3.01059158222,Diksmuidestraat,31
50.9775746218,3.01053098477,Diksmuidestraat,33
50.9771762404,3.00967409235,Diksmuidestraat,34
50.9776387671,3.01047230378,Diksmuidestraat,35
50.9773759558,3.00942007834,Diksmuidestraat,36
50.9776823788,3.01042618019,Diksmuidestraat,37
50.9774259198,3.00936351612,Diksmuidestraat,38
50.9777263642,3.01039685054,Diksmuidestraat,39
50.975522097,3.0112437955,Diksmuidestraat,4
50.9776128556,3.00954423191,Diksmuidestraat,40
50.9777799587,3.01035100726,Diksmuidestraat,41
50.9777453832,3.0093267694,Diksmuidestraat,42
50.9778410268,3.01029056353,Diksmuidestraat,43
50.977904766,3.00928597565,Diksmuidestraat,44
50.9778737352,3.00993087381,Diksmuidestraat,45
50.9780899014,3.00912409417,Diksmuidestraat,46
50.9779992784,3.01016734753,Diksmuidestraat,47
50.9780403728,3.01013681946,Diksmuidestraat,49
50.9762623547,3.01190336949,Diksmuidestraat,5
50.9779836569,3.00978000443,Diksmuidestraat,51
50.9781535851,3.01009181173,Diksmuidestraat,53
50.9788301121,3.0080671147,Diksmuidestraat,54
50.9782695928,3.0099463197,Diksmuidestraat,55
50.9794995539,3.0081134871,Diksmuidestraat,56
50.978354051,3.00987935795,Diksmuidestraat,57
50.9795501849,3.00793584481,Diksmuidestraat,58
50.9783980488,3.00984333345,Diksmuidestraat,59
50.9755671621,3.01117555949,Diksmuidestraat,6
50.9796236973,3.00783985674,Diksmuidestraat,60
50.9783581284,3.00945398558,Diksmuidestraat,61
50.9797111392,3.00782108307,Diksmuidestraat,62
50.9796201989,3.00690027158,Diksmuidestraat,64
50.9786389522,3.00925557633,Diksmuidestraat,65
50.9800157809,3.00799539502,Diksmuidestraat,66
50.9789873889,3.00909636299,Diksmuidestraat,67
50.9800875138,3.00771445242,Diksmuidestraat,68
50.9791160617,3.00931565921,Diksmuidestraat,69
50.9762850951,3.01184047852,Diksmuidestraat,7
50.9791648746,3.00922950511,Diksmuidestraat,71
50.980286499,3.00758420003,Diksmuidestraat,72
50.9792098105,3.00919687021,Diksmuidestraat,73
50.9804222708,3.00753867148,Diksmuidestraat,74
50.9792550933,3.00917091888,Diksmuidestraat,75
50.9793044727,3.00916492978,Diksmuidestraat,77
50.980557263,3.00720817733,Diksmuidestraat,78
50.9793450133,3.00911761059,Diksmuidestraat,79
50.9756417726,3.01103426728,Diksmuidestraat,8
50.9806750942,3.0073449003,Diksmuidestraat,80
50.9793937603,3.00911135493,Diksmuidestraat,81
50.9807375613,3.00730448994,Diksmuidestraat,82
50.979433571,3.00907089289,Diksmuidestraat,83
50.980819188,3.00731151991,Diksmuidestraat,84
50.9794987654,3.00906416025,Diksmuidestraat,85
50.9809411511,3.00717595179,Diksmuidestraat,86
50.9797921564,3.00922200003,Diksmuidestraat,87
50.9810778048,3.00707456546,Diksmuidestraat,88
50.9797514332,3.00883337643,Diksmuidestraat,89
50.9763253236,3.01177380602,Diksmuidestraat,9
50.981171369,3.00703325131,Diksmuidestraat,90
50.979822502,3.00878260754,Diksmuidestraat,91
50.9812421403,3.00697237461,Diksmuidestraat,92
50.980015011,3.00902540668,Diksmuidestraat,93
50.9813168655,3.00688802517,Diksmuidestraat,94
50.980092872,3.00896333197,Diksmuidestraat,95
50.9814197586,3.00686039717,Diksmuidestraat,96
50.9801667919,3.00892586785,Diksmuidestraat,97
50.9815029252,3.00680628113,Diksmuidestraat,98
50.980225766,3.00884767717,Diksmuidestraat,99
