lat,lon,addr:street,addr:housenumber
50.9340292122,3.00739169288,Foncieregoedstraat,1
50.9259016899,3.00349950587,Foncieregoedstraat,10
50.9323986789,3.00322474704,Foncieregoedstraat,11
50.9262949143,3.00201128744,Foncieregoedstraat,13
50.9331304914,3.00611903696,Foncieregoedstraat,2
50.9338939911,3.00684840146,Foncieregoedstraat,3
50.9329111257,3.00568562315,Foncieregoedstraat,4
50.9337792988,3.00636996639,Foncieregoedstraat,5
50.931604592,3.00273565983,Foncieregoedstraat,6
50.9336378539,3.00605024162,Foncieregoedstraat,7
50.9339072333,3.00578787995,Foncieregoedstraat,7A
50.9335176043,3.00572862275,Foncieregoedstraat,7B
50.9298782481,3.00155100013,Foncieregoedstraat,8
50.9273129701,3.00344452143,Foncieregoedstraat,8A
50.9325308452,3.00353448099,Foncieregoedstraat,9
