lat,lon,addr:street,addr:housenumber
50.9296808493,3.05603599753,Groenestraat,1
50.9320370238,3.06815868808,Groenestraat,11
50.932783973,3.06934605501,Groenestraat,12
50.9328646295,3.07040477342,Groenestraat,14
50.9304711763,3.05786069128,Groenestraat,1A
50.9331527019,3.07270339511,Groenestraat,20
50.9332361559,3.07373316739,Groenestraat,22
50.9346233421,3.07636551088,Groenestraat,26
50.9309453721,3.06131813537,Groenestraat,3
50.935125861,3.07588598418,Groenestraat,30
50.9340366294,3.07807734786,Groenestraat,36
50.9342446108,3.07857131566,Groenestraat,38
50.9316495326,3.06155347528,Groenestraat,4
50.9346318649,3.07875403136,Groenestraat,40
50.9367395582,3.08087139278,Groenestraat,42
50.9314335272,3.06213128072,Groenestraat,4A
50.9313438585,3.06256528608,Groenestraat,6
50.9312555542,3.0635027496,Groenestraat,8
