lat,lon,addr:street,addr:housenumber,fixme
50.9747657155,3.01549753865,Guido Gezelleplein,1,
50.9753481479,3.01501449242,Guido Gezelleplein,10,
50.9755293053,3.01456096503,Guido Gezelleplein,11,
50.975484976,3.01459955576,Guido Gezelleplein,12,
50.975339196,3.01440069329,Guido Gezelleplein,13,
50.9753401844,3.01429129642,Guido Gezelleplein,14,
50.9753051645,3.01422480714,Guido Gezelleplein,15,
50.9752542629,3.01412203584,Guido Gezelleplein,16,
50.975134855,3.01400387021,Guido Gezelleplein,17,
50.9749593746,3.01405223074,Guido Gezelleplein,18,
50.9748752277,3.01393561065,Guido Gezelleplein,19,
50.9748185035,3.01539704389,Guido Gezelleplein,2,
50.9749184817,3.01542847841,Guido Gezelleplein,3,
50.9750319836,3.01552574146,Guido Gezelleplein,4,
50.9754908424,3.01559395764,Guido Gezelleplein,5,
50.9754313641,3.01540200043,Guido Gezelleplein,6,
50.9752336746,3.01541895548,Guido Gezelleplein,7,
50.9753582127,3.01520944149,Guido Gezelleplein,8,
