lat,lon,addr:street,addr:housenumber
50.9729467767,3.00782470809,Houthulststraat,1
50.9722039143,3.00654617613,Houthulststraat,10
50.9716989624,2.99436803322,Houthulststraat,100
50.9712947392,2.99141592376,Houthulststraat,104
50.9712933545,2.99076792383,Houthulststraat,106
50.9727845002,3.0017220555,Houthulststraat,11
50.9709399947,2.99015960331,Houthulststraat,110
50.96955293,2.98852857277,Houthulststraat,112
50.9709092398,2.98851813372,Houthulststraat,114
50.9705796214,2.98815647271,Houthulststraat,116
50.9704533014,2.98777345237,Houthulststraat,118
50.9722243998,3.00636644508,Houthulststraat,12
50.9706274207,2.98753337651,Houthulststraat,120
50.9707200608,2.98711528612,Houthulststraat,122
50.9706187978,2.98679147657,Houthulststraat,124
50.9706166836,2.98657324992,Houthulststraat,126
50.970552417,2.9863987188,Houthulststraat,128
50.9723406876,3.00153364106,Houthulststraat,13
50.9705661956,2.98618643165,Houthulststraat,130
50.9706649659,2.98593077161,Houthulststraat,132
50.9703498657,2.98574170921,Houthulststraat,134
50.9703178052,2.98543893153,Houthulststraat,136
50.9702907293,2.98517018136,Houthulststraat,138
50.9721541079,3.0061892088,Houthulststraat,14
50.9702643808,2.98493273633,Houthulststraat,140
50.9702155353,2.98468598798,Houthulststraat,142
50.9700749344,2.98394614027,Houthulststraat,144
50.9698694974,2.98032308138,Houthulststraat,146
50.9698481477,2.98004533859,Houthulststraat,148
50.9727932324,3.00118922722,Houthulststraat,15
50.9698223513,2.97976416794,Houthulststraat,150
50.9697972767,2.97948326098,Houthulststraat,152
50.9697726214,2.97920746796,Houthulststraat,154
50.9688242103,2.97814430317,Houthulststraat,160
50.9691415922,2.97775713463,Houthulststraat,162
50.9691115459,2.97743636883,Houthulststraat,164
50.9697239175,2.97753610266,Houthulststraat,166
50.9697473193,2.97731783505,Houthulststraat,168
50.9728535983,3.00075172419,Houthulststraat,17
50.9696650384,2.97689851466,Houthulststraat,172
50.969641456,2.97663792755,Houthulststraat,174
50.9696189554,2.97641561166,Houthulststraat,176
50.9696128757,2.97626656676,Houthulststraat,178
50.9695397461,2.9760585697,Houthulststraat,178A
50.9695116365,2.97574230109,Houthulststraat,178B
50.9694815218,2.97542381417,Houthulststraat,178C
50.9719195978,3.00601560548,Houthulststraat,18
50.9695152272,2.97517249059,Houthulststraat,180
50.9695005595,2.97503480778,Houthulststraat,182
50.9723420934,3.00105898744,Houthulststraat,19
50.9724849621,3.00723733088,Houthulststraat,2
50.9718156043,3.00542056278,Houthulststraat,20
50.9724967528,2.99849543274,Houthulststraat,21
50.9720495546,3.00501049373,Houthulststraat,22
50.9720774824,2.99447669697,Houthulststraat,23
50.9720501513,3.00476726227,Houthulststraat,24
50.9718866436,2.98578681349,Houthulststraat,25
50.9719460154,3.00465665828,Houthulststraat,26
50.9719619984,3.00455409493,Houthulststraat,28
50.9706327173,2.98315177538,Houthulststraat,29
50.9727357453,3.00715472136,Houthulststraat,3
50.9719714852,3.00443406328,Houthulststraat,30
50.9706014109,2.97971176251,Houthulststraat,31
50.9719895804,3.00425781917,Houthulststraat,32
50.9702619027,2.9786903263,Houthulststraat,33
50.9719820876,3.00407690838,Houthulststraat,34
50.9719740537,3.00395012419,Houthulststraat,36
50.9719731671,3.00383495097,Houthulststraat,38
50.9724437951,3.00711392762,Houthulststraat,4
50.9720748418,3.00371009998,Houthulststraat,40
50.9698743728,2.97541997496,Houthulststraat,41
50.9719696799,3.00342594639,Houthulststraat,42
50.9719321043,3.00324050058,Houthulststraat,44
50.9698256338,2.97495623045,Houthulststraat,45
50.9710695309,3.00246564432,Houthulststraat,46
50.9697882461,2.97426702885,Houthulststraat,47
50.969938509,2.97390530037,Houthulststraat,49
50.9723544506,3.00370993602,Houthulststraat,5
50.9713482237,2.97081168415,Houthulststraat,51
50.9719229655,3.00122300505,Houthulststraat,54
50.9719415417,3.00094934629,Houthulststraat,56
50.971304701,3.00020468246,Houthulststraat,58
50.9723467759,3.00689560054,Houthulststraat,6
50.9694751477,2.97475676277,Houthulststraat,618
50.9694898789,2.97491494774,Houthulststraat,618
50.9719105423,2.99972193595,Houthulststraat,62
50.9719049113,2.9995779948,Houthulststraat,64
50.9718997312,2.99943418291,Houthulststraat,66
50.9692439287,2.99969369211,Houthulststraat,68
50.9725220063,3.00240609989,Houthulststraat,7
50.9718464312,2.99911107486,Houthulststraat,70
50.9718161629,2.99887429902,Houthulststraat,72
50.9718705418,2.9986568373,Houthulststraat,74
50.9711431086,2.9980166653,Houthulststraat,76
50.9718177236,2.99822862753,Houthulststraat,78
50.9718247436,2.99799773994,Houthulststraat,80
50.9718876763,2.99776607219,Houthulststraat,82
50.9718790052,2.99744636015,Houthulststraat,84
50.9718841832,2.99715785527,Houthulststraat,86
50.971889264,2.99686878356,Houthulststraat,88
50.9725345023,3.0017017172,Houthulststraat,9
50.9718982452,2.99658273037,Houthulststraat,90
50.9719080829,2.9963007815,Houthulststraat,92
50.971910222,2.99602176337,Houthulststraat,94
50.9718626853,2.99559240452,Houthulststraat,96
50.9717372622,2.99496839337,Houthulststraat,98
