lat,lon,addr:street,addr:housenumber,fixme
50.9455974001,3.08696170357,Huisdrevestraat,1,
50.9451838531,3.08541396348,Huisdrevestraat,11,
50.9456226914,3.08710446527,Huisdrevestraat,12,
50.9450466423,3.08510790181,Huisdrevestraat,13,
50.9456737344,3.08723428489,Huisdrevestraat,14,
50.9457263409,3.08737558955,Huisdrevestraat,16,
50.9456957441,3.0875709685,Huisdrevestraat,18,
50.9457876304,3.08771974021,Huisdrevestraat,20,
50.9459011527,3.08788215344,Huisdrevestraat,22,
50.9462092734,3.08759451999,Huisdrevestraat,24,
50.9455072347,3.08684718449,Huisdrevestraat,3,
50.9455374107,3.08667928388,Huisdrevestraat,5,
50.9454645602,3.08652017521,Huisdrevestraat,7,
