lat,lon,addr:street,addr:housenumber
50.9502287097,2.97894023316,Kampstraat,1
50.9537937018,2.97366688096,Kampstraat,11
50.9504725478,2.97564327972,Kampstraat,11A
50.9495322335,2.9763294725,Kampstraat,12
50.9497568101,2.97579689737,Kampstraat,12A
50.9502913461,2.97466913075,Kampstraat,13
50.9496468831,2.97557940686,Kampstraat,14
50.9504320185,2.9737110389,Kampstraat,15
50.949641864,2.97533033599,Kampstraat,16
50.9506262655,2.96937904702,Kampstraat,17
50.9496032363,2.97517378155,Kampstraat,18
50.9514789043,2.9688308176,Kampstraat,19
50.949751369,2.97950931751,Kampstraat,2
50.9496084896,2.97502531773,Kampstraat,20
50.9515286073,2.96885210839,Kampstraat,21
50.9501544937,2.97312946776,Kampstraat,22
50.9515968641,2.96886103175,Kampstraat,23
50.9516738939,2.96893474114,Kampstraat,25
50.9517386331,2.96897294861,Kampstraat,27
50.9517851768,2.96900073907,Kampstraat,29
50.9497838934,2.97911936575,Kampstraat,2A
50.9502036029,2.97861888036,Kampstraat,3
50.9518500263,2.96904065147,Kampstraat,31
50.9519300017,2.96910502177,Kampstraat,33
50.9519845097,2.96917499143,Kampstraat,35
50.9520386986,2.96926347465,Kampstraat,37
50.9502168457,2.97829411414,Kampstraat,3A
50.9502297139,2.97797576373,Kampstraat,3B
50.9498515109,2.97889931279,Kampstraat,4
50.9521896482,2.97651919939,Kampstraat,7
50.9527770801,2.97527195467,Kampstraat,9
