lat,lon,addr:street,addr:housenumber
50.9305957209,3.01346067537,Karabiniersstraat,10
50.9303976404,3.01356868662,Karabiniersstraat,12
50.930204006,3.01362563605,Karabiniersstraat,14
50.9303370522,3.01257952419,Karabiniersstraat,3
50.9307967894,3.01273867523,Karabiniersstraat,4
50.9304544139,3.01248877946,Karabiniersstraat,4
50.930605836,3.01302802189,Karabiniersstraat,6
50.9300067739,3.01298855775,Karabiniersstraat,7
50.9306186937,3.01326197088,Karabiniersstraat,8
50.9298587428,3.01313296775,Karabiniersstraat,9
