lat,lon,addr:street,addr:housenumber,fixme
50.9490203378,2.97941140583,Langemarkstraat,10,
50.9487288126,2.97852536926,Langemarkstraat,16,
50.9485185371,2.97813166176,Langemarkstraat,20,
50.9482457902,2.97609865149,Langemarkstraat,3,
50.9472654204,2.97779164331,Langemarkstraat,34,
50.9467266212,2.97843197727,Langemarkstraat,38,
50.9475727651,2.97689073245,Langemarkstraat,44,
50.9476653531,2.97682849465,Langemarkstraat,46,
50.9476445203,2.97674713405,Langemarkstraat,48,
50.9476155978,2.97667355667,Langemarkstraat,50,
50.9475982358,2.97659678993,Langemarkstraat,52,
50.9475645835,2.97652619952,Langemarkstraat,54,
50.9475485021,2.97642093019,Langemarkstraat,56,
50.9475821199,2.97623804291,Langemarkstraat,58,
50.9491621766,2.9796366395,Langemarkstraat,6,
50.9490986295,2.97950117404,Langemarkstraat,8,
50.9482264,2.9769554,Langemarkstraat,27,Address present in OSM. Not found in CRAB
