lat,lon,addr:street,addr:housenumber
50.9409995545,3.067485695,Lijsterstraat,1
50.9405863747,3.06668447908,Lijsterstraat,10
50.9408933986,3.06658645434,Lijsterstraat,11
50.9405485705,3.06649385075,Lijsterstraat,12
50.9406237866,3.06768437574,Lijsterstraat,2
50.9409784909,3.06731281464,Lijsterstraat,3
50.9405861347,3.06744237221,Lijsterstraat,4
50.9410026773,3.06712615703,Lijsterstraat,5
50.940572469,3.06719059671,Lijsterstraat,6
50.9409755865,3.06696112821,Lijsterstraat,7
50.9405718229,3.06691298863,Lijsterstraat,8
50.9409462738,3.06678221577,Lijsterstraat,9
