lat,lon,addr:street,addr:housenumber
50.9794703225,3.0087812855,Lucasstraat,1
50.9865747803,3.01421857678,Lucasstraat,10
50.9797354859,3.01013798074,Lucasstraat,11
50.9802556491,3.01159953829,Lucasstraat,123
50.9797853988,3.0102872153,Lucasstraat,13
50.9872615107,3.01437707503,Lucasstraat,14
50.9798820435,3.01042697853,Lucasstraat,15
50.9799828478,3.01063113852,Lucasstraat,17
50.9800727989,3.01087648855,Lucasstraat,19
50.9809564089,3.00970125509,Lucasstraat,2
50.9801604241,3.0111229038,Lucasstraat,21
50.9802031656,3.0113909855,Lucasstraat,23
50.9804348805,3.0116738225,Lucasstraat,23B
50.9802964994,3.01203117592,Lucasstraat,25
50.9803024962,3.01227838913,Lucasstraat,27
50.9804171779,3.01252459527,Lucasstraat,29
50.9796179632,3.00925710096,Lucasstraat,3
50.9805755436,3.01340203825,Lucasstraat,31
50.9806585509,3.01366169707,Lucasstraat,33
50.9807394099,3.01395346405,Lucasstraat,35
50.9813921711,3.01492559749,Lucasstraat,37
50.9827269606,3.01639110919,Lucasstraat,39
50.9835946712,3.01098244587,Lucasstraat,4
50.9837871192,3.01584207819,Lucasstraat,41
50.9883485508,3.01627539072,Lucasstraat,43
50.9895360945,3.01670338136,Lucasstraat,45
50.9795276528,3.00971247106,Lucasstraat,5
50.9853581394,3.01456765663,Lucasstraat,6A
50.9796362173,3.00982553924,Lucasstraat,7
50.9856942308,3.01557780638,Lucasstraat,8
50.9796849184,3.00997879605,Lucasstraat,9
