lat,lon,addr:street,addr:housenumber
50.9427019456,3.06367436054,Meulebroekenlaan,1
50.9419305249,3.06142251214,Meulebroekenlaan,10
50.9427336716,3.06208676604,Meulebroekenlaan,11
50.9418416436,3.06114280042,Meulebroekenlaan,12
50.9423660626,3.06118269171,Meulebroekenlaan,13
50.9421870534,3.06049522574,Meulebroekenlaan,15
50.9416764562,3.06023509897,Meulebroekenlaan,16
50.9414920598,3.05841891193,Meulebroekenlaan,18
50.9416880932,3.05774475679,Meulebroekenlaan,19
49.2933351651,2.30668956214,Meulebroekenlaan,2
50.9416774378,3.05736169014,Meulebroekenlaan,21
50.9412917209,3.05692492862,Meulebroekenlaan,24
50.9412888271,3.05673005597,Meulebroekenlaan,26
50.9417470382,3.05637173392,Meulebroekenlaan,27
50.9412763591,3.05641847892,Meulebroekenlaan,28
50.9426085777,3.06341924146,Meulebroekenlaan,3
50.9413431292,3.05763258255,Meulebroekenlaan,34
50.9421673106,3.06301385157,Meulebroekenlaan,4
50.9425785645,3.06325059034,Meulebroekenlaan,5
50.9420358493,3.0625994202,Meulebroekenlaan,6
50.9425440398,3.06308049958,Meulebroekenlaan,7
50.9419286462,3.06208655319,Meulebroekenlaan,8
50.9424996692,3.06291438296,Meulebroekenlaan,9
