lat,lon,addr:street,addr:housenumber,fixme
50.9712423837,3.01431964518,Molenwalstraat,1,
50.971489437,3.01513897096,Molenwalstraat,10,
50.9708675951,3.01509583133,Molenwalstraat,11,
50.9709236479,3.01538070873,Molenwalstraat,13,
50.9707856923,3.01540861154,Molenwalstraat,15,
50.9713942079,3.01552817851,Molenwalstraat,16,
50.9708233408,3.01561769713,Molenwalstraat,17,
50.9712656024,3.01576712448,Molenwalstraat,18,
50.9708365462,3.01585126777,Molenwalstraat,19,
50.9715926878,3.0144626037,Molenwalstraat,2,
50.9710794499,3.01614627798,Molenwalstraat,20,
50.9707701225,3.01595442505,Molenwalstraat,21,
50.9707371965,3.0161325112,Molenwalstraat,23,
50.9711172895,3.01451976125,Molenwalstraat,3,
50.9715660161,3.01463709603,Molenwalstraat,4,
50.9710715729,3.01467216101,Molenwalstraat,5,
50.9715403522,3.01480543606,Molenwalstraat,6,
50.9710325988,3.01483233987,Molenwalstraat,7,
50.971515023,3.01497163032,Molenwalstraat,8,
50.9709261649,3.01495089329,Molenwalstraat,9,
