lat,lon,addr:street,addr:housenumber
50.9339343171,3.00900378807,Ommegang Noord,1
50.9347508769,3.00775435887,Ommegang Noord,10
50.9339849242,3.01010699428,Ommegang Noord,11
50.9348856608,3.00787964465,Ommegang Noord,12
50.9340261032,3.01044941199,Ommegang Noord,13B
50.9341151056,3.01060448455,Ommegang Noord,13C
50.9341279661,3.01072932035,Ommegang Noord,13D
50.9340627263,3.01112916928,Ommegang Noord,13G
50.9349868383,3.00715248337,Ommegang Noord,14
50.9340693725,3.01149449828,Ommegang Noord,15
50.9351274216,3.00784844673,Ommegang Noord,16
50.9338855094,3.0119928183,Ommegang Noord,17
50.9348508341,3.00877803958,Ommegang Noord,18
50.9342345811,3.00825536498,Ommegang Noord,2
50.9337371072,3.01362493865,Ommegang Noord,21
50.9344371235,3.00868872109,Ommegang Noord,22
50.933705729,3.01385889974,Ommegang Noord,23
50.9344543753,3.00893650466,Ommegang Noord,24
50.9336973389,3.01398121842,Ommegang Noord,25
50.9344798839,3.00912087564,Ommegang Noord,26
50.9336878739,3.01411950347,Ommegang Noord,27
50.9344935807,3.00934898521,Ommegang Noord,28
50.9336779778,3.0142750168,Ommegang Noord,29
50.9339901463,3.00928331873,Ommegang Noord,3
50.9344785695,3.00961363917,Ommegang Noord,30
50.9336648711,3.01444840773,Ommegang Noord,31
50.934514178,3.00984737492,Ommegang Noord,32
50.9336511144,3.01464344388,Ommegang Noord,33
50.9344318671,3.01026351591,Ommegang Noord,34
50.9345454062,3.01074470343,Ommegang Noord,36
50.9342860748,3.0083931668,Ommegang Noord,4
50.9345276434,3.01106720361,Ommegang Noord,40
50.9344796292,3.01148733062,Ommegang Noord,46
50.9344961612,3.01168106861,Ommegang Noord,48
50.9339567798,3.00953896855,Ommegang Noord,5
50.9344329467,3.01187497779,Ommegang Noord,50
50.9349393552,3.01175447903,Ommegang Noord,52
50.9343562584,3.01203882746,Ommegang Noord,54
50.9343494596,3.01218201773,Ommegang Noord,56
50.9343406104,3.01227219591,Ommegang Noord,58
50.9343409441,3.01241020011,Ommegang Noord,60
50.9343238197,3.01260917869,Ommegang Noord,62
50.9342465659,3.0127942431,Ommegang Noord,64
50.933965917,3.00968383086,Ommegang Noord,7
50.9340629158,3.0147001436,Ommegang Noord,70
50.9340273989,3.01497306768,Ommegang Noord,72
50.9339961988,3.01524615142,Ommegang Noord,76
50.9345138033,3.00799628451,Ommegang Noord,8
50.9339904178,3.00984333024,Ommegang Noord,9
