lat,lon,addr:street,addr:housenumber,fixme
50.9328077946,3.01513657646,Ommegang Oost,1,
50.9323189115,3.01687406422,Ommegang Oost,10,
50.9317218135,3.01503643111,Ommegang Oost,11,
50.9316565141,3.01678401682,Ommegang Oost,12,
50.9316448327,3.01487859284,Ommegang Oost,13,
50.9318718273,3.01600896306,Ommegang Oost,14,
50.9315517646,3.01481497754,Ommegang Oost,15,
50.9316356431,3.01595459161,Ommegang Oost,16,
50.9314499914,3.01475275177,Ommegang Oost,17,
50.9316227651,3.01590587823,Ommegang Oost,18,
50.9312928483,3.01485559513,Ommegang Oost,19,
50.9314100922,3.01443449899,Ommegang Oost,19A,
50.9333605572,3.01609809433,Ommegang Oost,2,
50.9312960061,3.01454435301,Ommegang Oost,21,
50.9312192676,3.01579728656,Ommegang Oost,22,
50.9312542404,3.01454015154,Ommegang Oost,23,
50.930931582,3.0156896267,Ommegang Oost,24,
50.9312038974,3.01449380025,Ommegang Oost,25,
50.9308065378,3.01529287905,Ommegang Oost,26,
50.9310705385,3.01489743285,Ommegang Oost,27,
50.9306667485,3.01512262749,Ommegang Oost,28,
50.9309983371,3.01484232186,Ommegang Oost,29,
50.9326631833,3.01550796389,Ommegang Oost,3,
50.9304774234,3.01508540576,Ommegang Oost,30,
50.9309980699,3.0146474168,Ommegang Oost,31,
50.9309859198,3.0143263747,Ommegang Oost,33,
50.9309038227,3.01430199638,Ommegang Oost,35,
50.9307939615,3.01427913062,Ommegang Oost,37,
50.930698252,3.01411116681,Ommegang Oost,39,
50.9325157668,3.01557325049,Ommegang Oost,3A,
50.9332189475,3.01612109819,Ommegang Oost,4,
50.9305721764,3.01403100756,Ommegang Oost,41,
50.9304034584,3.01406561116,Ommegang Oost,43,
50.9301766772,3.01390669615,Ommegang Oost,45,
50.9323837048,3.0155665291,Ommegang Oost,5,
50.9321888912,3.0154039753,Ommegang Oost,5A,
50.9328075608,3.01640512976,Ommegang Oost,6,
50.9319997162,3.01534853568,Ommegang Oost,7,
50.9318092458,3.01531333685,Ommegang Oost,9,
