lat,lon,addr:street,addr:housenumber
50.943822952,3.07852188311,Paalweg,10
50.9439012244,3.07850222719,Paalweg,12
50.9439795891,3.07847459934,Paalweg,14
50.9442536867,3.07876719538,Paalweg,16
50.9443820843,3.0784814643,Paalweg,18
50.9432204138,3.07865414379,Paalweg,2
50.9468449384,3.07792958179,Paalweg,22
50.9458799584,3.07879635304,Paalweg,24
50.945652068,3.07924094542,Paalweg,26
50.9469817382,3.07857336757,Paalweg,30
50.9473158706,3.07812654888,Paalweg,32
50.9476676379,3.07796772226,Paalweg,34
50.9478303422,3.07787529242,Paalweg,36
50.9434319178,3.07843700283,Paalweg,4
50.9436116107,3.07856540506,Paalweg,6
50.9456724144,3.08008815312,Paalweg,7
50.9437393322,3.07854581293,Paalweg,8
50.9460387276,3.07961571096,Paalweg,9
