lat,lon,addr:street,addr:housenumber,fixme
50.9279260885,3.01392114604,Passendalesteenweg,10,
50.927142681,3.01321595054,Passendalesteenweg,11,
50.9268757048,3.01297868825,Passendalesteenweg,12,
50.9269977664,3.01317845272,Passendalesteenweg,13,
50.9266233718,3.01436233003,Passendalesteenweg,14,
50.9268995932,3.01357662725,Passendalesteenweg,15,
50.9268761958,3.01334086714,Passendalesteenweg,17,
50.9268629346,3.01270563406,Passendalesteenweg,19,
50.9264006033,3.01351421197,Passendalesteenweg,21B,
50.9261286389,3.0136084132,Passendalesteenweg,23,
50.9255971683,3.01384026758,Passendalesteenweg,25,
50.9250978111,3.01401115877,Passendalesteenweg,29,
50.9248913031,3.01399649108,Passendalesteenweg,29A,
50.9247474409,3.01405028881,Passendalesteenweg,31,
50.9246003839,3.01409991082,Passendalesteenweg,31A,
50.9244483182,3.01415181081,Passendalesteenweg,33,
50.9242961462,3.01420229101,Passendalesteenweg,33A,
50.9241422569,3.01440801663,Passendalesteenweg,35,
50.923956423,3.01310623504,Passendalesteenweg,37,
50.9221883458,3.01457718027,Passendalesteenweg,39,
50.9287514705,3.01369729989,Passendalesteenweg,4,
50.9278314185,3.01308709001,Passendalesteenweg,5,
50.928468071,3.01376665402,Passendalesteenweg,6,
50.9276727447,3.01309608229,Passendalesteenweg,7,
50.9280800347,3.0138218135,Passendalesteenweg,8,
50.9275090674,3.01326369838,Passendalesteenweg,9,
