lat,lon,addr:street,addr:housenumber,fixme
50.9728365944,3.01878494749,Paul Billietstraat,1,
50.9724954935,3.0194123454,Paul Billietstraat,10,
50.9727497552,3.01830015887,Paul Billietstraat,11,
50.9724660036,3.0192947189,Paul Billietstraat,12,
50.9724333272,3.01916579243,Paul Billietstraat,14,
50.9724036556,3.01904802906,Paul Billietstraat,16,
50.9723396649,3.01877575561,Paul Billietstraat,18,
50.9728531178,3.01915940835,Paul Billietstraat,2,
50.9723746963,3.01864758627,Paul Billietstraat,20,
50.972409904,3.01851912686,Paul Billietstraat,22,
50.9724448304,3.01838967857,Paul Billietstraat,24,
50.9727492653,3.0187353433,Paul Billietstraat,3,
50.9727719512,3.01910620853,Paul Billietstraat,4,
50.9726679171,3.01868200716,Paul Billietstraat,5,
50.9726904202,3.0190525922,Paul Billietstraat,6,
50.9725871573,3.01860943052,Paul Billietstraat,7,
50.9725992608,3.01900608826,Paul Billietstraat,8,
50.9727090848,3.01846964505,Paul Billietstraat,9,
