lat,lon,addr:street,addr:housenumber
50.9397102266,3.06367530284,Pauwstraat,1
50.9385987728,3.06454773139,Pauwstraat,10
50.939132302,3.06338330395,Pauwstraat,11
50.9385222361,3.06428604654,Pauwstraat,12
50.9389685722,3.06344719452,Pauwstraat,13
50.9384451596,3.06403248824,Pauwstraat,14
50.9388198181,3.06354809154,Pauwstraat,15
50.9384169047,3.06352002316,Pauwstraat,16
50.938794714,3.0631495125,Pauwstraat,17
50.9383517459,3.0632711154,Pauwstraat,18
50.9387242878,3.06290402254,Pauwstraat,19
50.9393777512,3.06382912037,Pauwstraat,2
50.9382886114,3.06303453144,Pauwstraat,20
50.9386523332,3.06265857583,Pauwstraat,21
50.9382241314,3.06279827014,Pauwstraat,22
50.9385820495,3.06240981061,Pauwstraat,23
50.9381590754,3.06255875278,Pauwstraat,24
50.9380932792,3.06231740688,Pauwstraat,26
50.9396332165,3.06341974508,Pauwstraat,3
50.9392062561,3.06394672863,Pauwstraat,4
50.9395198466,3.06303940968,Pauwstraat,5
50.9390346379,3.06406946207,Pauwstraat,6
50.9388658311,3.06419439317,Pauwstraat,8
50.9392559706,3.06321750527,Pauwstraat,9
