lat,lon,addr:street,addr:housenumber,fixme
50.9432471228,3.06951799808,Roeselarestraat,104,
50.9429257624,3.06950668712,Roeselarestraat,106,
50.9423626839,3.06913292972,Roeselarestraat,109,
50.9403235851,3.06088541389,Roeselarestraat,13,
50.9424409631,3.0735708159,Roeselarestraat,159,
50.9418875979,3.07424096595,Roeselarestraat,161,
50.9406786561,3.07335377595,Roeselarestraat,163,
50.9424393662,3.07498551154,Roeselarestraat,175,
50.9419605073,3.07526168863,Roeselarestraat,179,
50.9429052997,3.07864658314,Roeselarestraat,190,
50.9401992065,3.05993676111,Roeselarestraat,1A,
50.9407269445,3.06029899688,Roeselarestraat,2,
50.9413200392,3.06173607456,Roeselarestraat,22,
50.9422737858,3.08000629725,Roeselarestraat,227,
50.9413247672,3.06165995373,Roeselarestraat,24,
50.9434445949,3.08432462992,Roeselarestraat,246,
50.9435301833,3.0845878337,Roeselarestraat,248,
50.9435983852,3.08477381395,Roeselarestraat,250,
50.9436390775,3.08495997802,Roeselarestraat,252,
50.9436895477,3.08507827859,Roeselarestraat,254,
50.9432310775,3.08574187241,Roeselarestraat,255,
50.94375397,3.08529695215,Roeselarestraat,256,
50.9437769888,3.08518190664,Roeselarestraat,256A,
50.9438198081,3.08536530973,Roeselarestraat,256B,
50.943165675,3.0864221781,Roeselarestraat,257,
50.9438919429,3.08553282685,Roeselarestraat,258,
50.9434403216,3.08623109716,Roeselarestraat,259,
50.94130542,3.06172310532,Roeselarestraat,26,
50.9439710893,3.08576618418,Roeselarestraat,260,
50.9436375551,3.08611385306,Roeselarestraat,261,
50.9440380128,3.08597525687,Roeselarestraat,262,
50.9437212079,3.08643901805,Roeselarestraat,263,
50.944110792,3.0861854509,Roeselarestraat,264,
50.943738377,3.08636454862,Roeselarestraat,265,
50.9441775224,3.08638513764,Roeselarestraat,266,
50.9438602887,3.08647164886,Roeselarestraat,267,
50.9442661994,3.08665168022,Roeselarestraat,268,
50.9438896363,3.08664005209,Roeselarestraat,269,
50.944708367,3.0872546694,Roeselarestraat,270,
50.9439961874,3.0868638395,Roeselarestraat,275,
50.943984737,3.08724852893,Roeselarestraat,277,
50.9440823558,3.08735401836,Roeselarestraat,279,
50.9410311096,3.06207041687,Roeselarestraat,33,
50.9413090369,3.06376460729,Roeselarestraat,55,
50.9423103,3.0740117,Roeselarestraat,161,163,Address present in OSM. Not found in CRAB
50.9426779,3.0694761,Roeselarestraat,106B,Address present in OSM. Not found in CRAB
50.9427636,3.0736897,Roeselarestraat,144,Address present in CRAB but has no position there
50.9411859,3.0617522,Roeselarestraat,22-26,Address present in OSM. Not found in CRAB
