lat,lon,addr:street,addr:housenumber,fixme
50.9517264458,3.0816920782,Schierveldestraat,11,
50.9524376678,3.07849010333,Schierveldestraat,12,
50.9517636807,3.08240001647,Schierveldestraat,15,
50.9522178895,3.07905125052,Schierveldestraat,16,
50.951000721,3.08537713498,Schierveldestraat,17,
50.9515050469,3.07462566742,Schierveldestraat,1A,
50.9518841182,3.07695873126,Schierveldestraat,2,
50.9527936527,3.07940435968,Schierveldestraat,20,
50.9527952519,3.07964045116,Schierveldestraat,22,
50.9521293914,3.08484112174,Schierveldestraat,24,
50.9517895237,3.07769435058,Schierveldestraat,3,
50.95158726,3.07968815662,Schierveldestraat,5,
50.951599482,3.07993377118,Schierveldestraat,7,
50.9523349242,3.07815588017,Schierveldestraat,8,
