lat,lon,addr:street,addr:housenumber
50.983796206,3.00090248965,Stampkotstraat,1
50.9784893779,2.99797524657,Stampkotstraat,10
50.9795604563,2.99787642888,Stampkotstraat,11
50.9778159365,2.99814945241,Stampkotstraat,12
50.9788989534,2.99755510352,Stampkotstraat,13
50.9777192434,2.99806084845,Stampkotstraat,14
50.9778685699,2.99607805489,Stampkotstraat,15
50.977918259,2.99742484444,Stampkotstraat,16
50.9770929091,2.99558978317,Stampkotstraat,17
50.9775711217,2.99710032282,Stampkotstraat,18
50.9760429952,2.99394393906,Stampkotstraat,19
50.98495911,3.00280327635,Stampkotstraat,2
50.975342124,2.99484826614,Stampkotstraat,20
50.9836652837,3.00071530712,Stampkotstraat,3
50.9821596274,3.00029876668,Stampkotstraat,4
50.9828904121,3.00000696373,Stampkotstraat,5
50.9802492544,2.99934531523,Stampkotstraat,6
50.9825612266,2.99886802446,Stampkotstraat,7
50.9801171393,2.99922583629,Stampkotstraat,8
50.9817093985,2.99860107861,Stampkotstraat,9
