lat,lon,addr:street,addr:housenumber
50.9746853442,3.01342815443,Statiestraat,10
50.9751395967,3.01343197276,Statiestraat,11
50.9748124976,3.01316501758,Statiestraat,12
50.9752139702,3.01334010737,Statiestraat,13
50.9747736096,3.01322324606,Statiestraat,14
50.9752113523,3.01318310885,Statiestraat,15
50.9748681606,3.01297087665,Statiestraat,16
50.9754401177,3.01340534433,Statiestraat,17
50.9748401204,3.01271436106,Statiestraat,18
50.97539942,3.01317382766,Statiestraat,19
50.9750049067,3.01277567246,Statiestraat,20
50.975542468,3.01321341178,Statiestraat,21
50.9749957507,3.01246492316,Statiestraat,22
50.9755847768,3.01305411655,Statiestraat,23
50.9751241361,3.01247260264,Statiestraat,24
50.9754436369,3.01261061133,Statiestraat,25
50.9751591146,3.01234043494,Statiestraat,26
50.9756465494,3.01282063354,Statiestraat,27
50.9752145347,3.01225011283,Statiestraat,28
50.9751847527,3.01221693918,Statiestraat,28A
50.9756223808,3.01240863511,Statiestraat,29
50.9749237578,3.01375435059,Statiestraat,3
50.9752776028,3.01213692662,Statiestraat,30
50.9753089487,3.0122355621,Statiestraat,30A
50.9753325619,3.01204562052,Statiestraat,32
50.9754017473,3.012010723,Statiestraat,34
50.9753958547,3.01185837564,Statiestraat,36
50.9750287444,3.0116616546,Statiestraat,38
50.9746677615,3.01377499071,Statiestraat,4
50.9749110854,3.01150827096,Statiestraat,40
50.974981171,3.01366525469,Statiestraat,5
50.975013272,3.01358757045,Statiestraat,7
50.9746640731,3.01355622133,Statiestraat,8
50.9750246886,3.01347815775,Statiestraat,9
