lat,lon,addr:street,addr:housenumber
50.9375480939,3.05988518753,Valkstraat,1
50.9382021526,3.06141124706,Valkstraat,10
50.9378023905,3.06124622555,Valkstraat,11
50.9382899205,3.06160701596,Valkstraat,12
50.9378696193,3.06149492776,Valkstraat,13
50.9383273331,3.06172934179,Valkstraat,14
50.9379373853,3.06174347342,Valkstraat,15
50.9380049804,3.06199287829,Valkstraat,17
50.9380296428,3.06084731173,Valkstraat,2
50.9375354143,3.06021608162,Valkstraat,3
50.9380663529,3.0609710788,Valkstraat,4
50.9375912407,3.06044176318,Valkstraat,5
50.9381316329,3.06116576531,Valkstraat,6
50.9376581592,3.0607351511,Valkstraat,7
50.9381664411,3.06128830524,Valkstraat,8
50.9377351644,3.06099780854,Valkstraat,9
