lat,lon,addr:street,addr:housenumber
50.9333493218,3.046713652,Veldstraat,11
50.9318621077,3.04215156083,Veldstraat,14
50.9317235183,3.04168583314,Veldstraat,16
50.9331672444,3.04584917953,Veldstraat,17
50.9316189904,3.04133054467,Veldstraat,18
50.9344190883,3.04911880898,Veldstraat,2
50.9315795003,3.04102620137,Veldstraat,20
50.9330513098,3.04518232101,Veldstraat,21
50.929853573,3.04078151851,Veldstraat,22
50.9329794881,3.04456088809,Veldstraat,23
50.9314382975,3.04072743931,Veldstraat,24
50.9328808711,3.04416287641,Veldstraat,25
50.9314531106,3.04055045997,Veldstraat,26
50.9314520791,3.04037961978,Veldstraat,28
50.9320872117,3.0376400764,Veldstraat,29
50.9352125807,3.04949290281,Veldstraat,3
50.9316455469,3.04024325363,Veldstraat,30
50.9313923229,3.04019948666,Veldstraat,32
50.9314478649,3.04003856941,Veldstraat,34
50.931448542,3.03986782314,Veldstraat,36
50.9314506601,3.03969732061,Veldstraat,38
50.9345187291,3.04940128225,Veldstraat,4
50.9314429011,3.03952795137,Veldstraat,40
50.9316570529,3.03914571687,Veldstraat,42
50.9314741907,3.0385108115,Veldstraat,44
50.9314823308,3.0382132308,Veldstraat,46
50.9314956308,3.03784735501,Veldstraat,48
50.9350358214,3.04692354127,Veldstraat,5
50.9314654948,3.03733773493,Veldstraat,50
50.9339240847,3.04837636592,Veldstraat,6
50.9341068628,3.04746390253,Veldstraat,7
50.9337256384,3.04811033706,Veldstraat,8
