lat,lon,addr:street,addr:housenumber
50.9527253845,3.07396800848,Vergeldermolenstraat,1
50.9584600636,3.07113178787,Vergeldermolenstraat,10
50.9577905109,3.07089336233,Vergeldermolenstraat,11
50.9585376467,3.07156325139,Vergeldermolenstraat,14
50.9580514491,3.07094507764,Vergeldermolenstraat,15
50.9585582168,3.07196924495,Vergeldermolenstraat,16
50.9579349359,3.07132852257,Vergeldermolenstraat,17
50.9579296076,3.07173394564,Vergeldermolenstraat,19
50.9520090569,3.0728210649,Vergeldermolenstraat,2
50.9585162325,3.07424649684,Vergeldermolenstraat,20
50.9579232956,3.07213996518,Vergeldermolenstraat,21
50.9580349028,3.07254272664,Vergeldermolenstraat,23
50.9578115296,3.07283217749,Vergeldermolenstraat,25
50.9580703002,3.07342177016,Vergeldermolenstraat,29
50.9540527247,3.07246342678,Vergeldermolenstraat,3
50.9582822344,3.07533583125,Vergeldermolenstraat,31
50.9583460533,3.07542446597,Vergeldermolenstraat,33
50.9586385726,3.07540501365,Vergeldermolenstraat,35
50.9579810422,3.07006444261,Vergeldermolenstraat,6
50.9559728928,3.07166035392,Vergeldermolenstraat,7
50.9584664294,3.07071465839,Vergeldermolenstraat,8
