lat,lon,addr:street,addr:housenumber,fixme
50.9745165783,3.0190269501,Wankaardelaan,10,
50.9736861437,3.01876334125,Wankaardelaan,11,
50.974405093,3.01907387661,Wankaardelaan,12,
50.9736277256,3.01898460568,Wankaardelaan,13,
50.9742938853,3.01915283565,Wankaardelaan,14,
50.9734362786,3.01890310878,Wankaardelaan,15,
50.9741934857,3.01922564479,Wankaardelaan,16,
50.9734097656,3.01924093423,Wankaardelaan,17,
50.9741184886,3.0192792103,Wankaardelaan,18,
50.9732445652,3.01905700767,Wankaardelaan,19,
50.9747968637,3.01868622556,Wankaardelaan,2,
50.9739980558,3.01939261039,Wankaardelaan,20,
50.9731568075,3.01908758602,Wankaardelaan,21,
50.973878827,3.01951694021,Wankaardelaan,22,
50.9738023474,3.0195980311,Wankaardelaan,24,
50.9729248748,3.01956019068,Wankaardelaan,25,
50.9746371911,3.01880389125,Wankaardelaan,26,
50.9727601664,3.01968568305,Wankaardelaan,27,
50.9725978242,3.01980583775,Wankaardelaan,29,
50.9740098914,3.0183162767,Wankaardelaan,3,
50.9734800708,3.02001698941,Wankaardelaan,30,
50.9724610003,3.01982273134,Wankaardelaan,31,
50.972406377,3.01988895091,Wankaardelaan,33,
50.9732461123,3.02016412421,Wankaardelaan,34,
50.9723641113,3.01993516409,Wankaardelaan,35,
50.9730972769,3.02030966446,Wankaardelaan,36,
50.9723188256,3.01999242863,Wankaardelaan,37,
50.9729358867,3.02043448965,Wankaardelaan,38,
50.9722302335,3.02006788368,Wankaardelaan,39,
50.9747154937,3.01875635262,Wankaardelaan,4,
50.9727248123,3.02031126001,Wankaardelaan,40,
50.9721545004,3.02004158215,Wankaardelaan,41,
50.9727517539,3.02057534679,Wankaardelaan,42,
50.9721105238,3.02007972753,Wankaardelaan,43,
50.9727084112,3.02061390113,Wankaardelaan,44,
50.9720553285,3.02014311483,Wankaardelaan,45,
50.9726455454,3.0206591397,Wankaardelaan,46,
50.9719855877,3.02021603357,Wankaardelaan,47,
50.9725676845,3.02072175453,Wankaardelaan,48,
50.9719298842,3.02027430889,Wankaardelaan,49,
50.9738973033,3.01837676435,Wankaardelaan,5,
50.9725263698,3.02103935018,Wankaardelaan,50,
50.97188804,3.0203180884,Wankaardelaan,51,
50.9724629517,3.02080094763,Wankaardelaan,52,
50.9718011363,3.02036045777,Wankaardelaan,53,
50.9724016708,3.02085112407,Wankaardelaan,54,
50.9723567238,3.02100862579,Wankaardelaan,56,
50.9722862562,3.02104169338,Wankaardelaan,58,
50.97460363,3.01869193071,Wankaardelaan,6,
50.9722439821,3.02107936181,Wankaardelaan,60,
50.9721493872,3.02102327014,Wankaardelaan,62,
50.9745326849,3.01858930605,Wankaardelaan,6A,
50.9738474763,3.0186728288,Wankaardelaan,7,
50.974588768,3.01892461987,Wankaardelaan,8,
50.9737650231,3.01871906215,Wankaardelaan,9,
