lat,lon,addr:street,addr:housenumber
50.9362976568,3.01561319355,Appelweg,1
50.9368031252,3.01471585588,Appelweg,10
50.9361766845,3.01653116445,Appelweg,11
50.9367837431,3.01484404884,Appelweg,12
50.9367687971,3.01495930766,Appelweg,14
50.936754935,3.01509061387,Appelweg,16
50.9367250637,3.01525268932,Appelweg,18
50.9368565859,3.01418997545,Appelweg,2
50.9367067877,3.01539892068,Appelweg,20
50.9366900684,3.01552419051,Appelweg,22
50.9366714342,3.01567057426,Appelweg,24
50.9366492492,3.01583655385,Appelweg,26
50.9366314236,3.01598291404,Appelweg,28
50.9362727841,3.01579561246,Appelweg,3
50.9366117022,3.01613644319,Appelweg,30
50.9365784927,3.0163054435,Appelweg,32
50.9365507012,3.01643743464,Appelweg,34
50.9365370611,3.01655692339,Appelweg,36
50.9365256,3.01674080611,Appelweg,38
50.9368533804,3.01430973373,Appelweg,4
50.9362434629,3.0159743176,Appelweg,5
50.9368379889,3.01442529035,Appelweg,6
50.9362200456,3.01615825931,Appelweg,7
50.9368239328,3.01455532192,Appelweg,8
50.9361968699,3.01633977498,Appelweg,9
