lat,lon,addr:street,addr:housenumber,fixme
50.9752147538,3.00931681896,Azaleaweg,1,
50.9753481719,3.00992359208,Azaleaweg,10,
50.9749609103,3.00980394212,Azaleaweg,11,
50.9752684337,3.0100722965,Azaleaweg,12,
50.9749172621,3.00988580847,Azaleaweg,13,
50.9752196273,3.01016684434,Azaleaweg,14,
50.9748727331,3.00996926665,Azaleaweg,15,
50.9751943755,3.01026911163,Azaleaweg,16,
50.9748290799,3.01005070563,Azaleaweg,17,
50.9751599739,3.01036537797,Azaleaweg,18,
50.9747714452,3.01015932165,Azaleaweg,19,
50.9755399105,3.00956272982,Azaleaweg,2,
50.975117389,3.01044593168,Azaleaweg,20,
50.9750616869,3.01055064695,Azaleaweg,22,
50.9751614487,3.00942659296,Azaleaweg,3,
50.9754849249,3.00966714153,Azaleaweg,4,
50.9751177257,3.00950974385,Azaleaweg,5,
50.9754412752,3.00974886657,Azaleaweg,6,
50.9750739812,3.00959104392,Azaleaweg,7,
50.9753972675,3.00983074423,Azaleaweg,8,
50.9750298871,3.00967320841,Azaleaweg,9,
