lat,lon,addr:street,addr:housenumber,fixme
50.9361075,3.00552762973,Bataviaweg,1,
50.9358058614,3.006489571,Bataviaweg,10,
50.9353693624,3.00617185238,Bataviaweg,11,
50.9356484997,3.00660398335,Bataviaweg,12,
50.9352054828,3.00629015335,Bataviaweg,13,
50.9354914875,3.00671753106,Bataviaweg,14,
50.9353368991,3.00686956707,Bataviaweg,16,
50.9359612659,3.00564015773,Bataviaweg,3,
50.9362620483,3.00607792331,Bataviaweg,4,
50.9358135443,3.00574845963,Bataviaweg,5,
50.9361030074,3.00619480581,Bataviaweg,6,
50.9356650787,3.00585464814,Bataviaweg,7,
50.9359634959,3.00637543454,Bataviaweg,8,
50.9355329508,3.00605170932,Bataviaweg,9,
