lat,lon,addr:street,addr:housenumber,fixme
50.938715435,3.06541191247,Broeierijstraat,10,
50.9386404632,3.06526686285,Broeierijstraat,12,
50.9385795187,3.06515443614,Broeierijstraat,14,
50.9386069738,3.06501963317,Broeierijstraat,16,
50.9386652448,3.06493150003,Broeierijstraat,18,
50.9387219122,3.06484469187,Broeierijstraat,20,
50.9388138644,3.06481026345,Broeierijstraat,22,
50.9388774898,3.0649130821,Broeierijstraat,24,
50.9388560435,3.0656304137,Broeierijstraat,4,
50.9387013872,3.06551532322,Broeierijstraat,8,
50.938796859,3.06553885435,Broeierijstraat,A,
50.9389344,3.0650471,Broeierijstraat,26,Address present in CRAB but has no position there
50.9389344,3.0650471,Broeierijstraat,26,Address present in CRAB but has no position there
