lat,lon,addr:street,addr:housenumber
50.9286893235,3.05785382685,Colliemolenstraat,12
50.9277823605,3.05747669655,Colliemolenstraat,15
50.92906147,3.05860568929,Colliemolenstraat,16
50.9275650499,3.05869368512,Colliemolenstraat,17
50.9287209673,3.0588051141,Colliemolenstraat,18
50.9282908861,3.0588081524,Colliemolenstraat,19
50.9288379577,3.05907328936,Colliemolenstraat,20
50.92853801,3.05957203823,Colliemolenstraat,21
50.9286284768,3.05971917639,Colliemolenstraat,23
50.9289866166,3.05934342791,Colliemolenstraat,24
50.928581301,3.06010901269,Colliemolenstraat,25
50.9291985237,3.0597224866,Colliemolenstraat,28
50.9289938283,3.06082291937,Colliemolenstraat,29
50.9266115377,3.05036722156,Colliemolenstraat,3
50.9293866598,3.06025998393,Colliemolenstraat,30
50.9289392387,3.06111238316,Colliemolenstraat,31
50.9297525286,3.06038451249,Colliemolenstraat,32
50.9297910466,3.06530814585,Colliemolenstraat,33
50.9298495537,3.06499808675,Colliemolenstraat,33A
50.9295626611,3.06103227822,Colliemolenstraat,34
50.9298886012,3.06648483037,Colliemolenstraat,35
50.9301864559,3.06330698078,Colliemolenstraat,36
50.9299000575,3.06660188283,Colliemolenstraat,37
50.9278223355,3.05663581325,Colliemolenstraat,4
50.9306897868,3.07232708661,Colliemolenstraat,40
50.9296450878,3.07104936592,Colliemolenstraat,41
50.9304412498,3.07342486459,Colliemolenstraat,42
50.9304393911,3.07358254925,Colliemolenstraat,44
50.9280623939,3.05713584,Colliemolenstraat,6
50.9262653213,3.05867461612,Colliemolenstraat,7
50.9274058831,3.05685301817,Colliemolenstraat,9
