lat,lon,addr:street,addr:housenumber
50.9594592171,3.03525208145,Dammaertstraat,10
50.9554949154,3.03023817337,Dammaertstraat,10A
50.9562145965,3.03015714308,Dammaertstraat,11
50.9551067568,3.02964314347,Dammaertstraat,12
50.9545403318,3.02751192316,Dammaertstraat,13
50.9607826895,3.03964888455,Dammaertstraat,2
50.9619865252,3.04030838017,Dammaertstraat,3
50.9606716337,3.03777855639,Dammaertstraat,4
50.9618225151,3.039836957,Dammaertstraat,5
50.9602950695,3.036488922,Dammaertstraat,6
50.9576550237,3.03062595056,Dammaertstraat,9
