lat,lon,addr:street,addr:housenumber
50.9580174257,3.07765649335,Diksmuidesteenweg,10
50.9580652195,3.07697359637,Diksmuidesteenweg,12
50.9566931089,3.07736126619,Diksmuidesteenweg,14
50.9583956293,3.07595948588,Diksmuidesteenweg,16
50.9585357197,3.07556030974,Diksmuidesteenweg,18
50.9579116279,3.07846952768,Diksmuidesteenweg,2
50.9585717862,3.07531631787,Diksmuidesteenweg,20
50.9570685128,3.08180303952,Diksmuidesteenweg,2B
50.9591585007,3.07141326694,Diksmuidesteenweg,32
50.9590613889,3.07116754241,Diksmuidesteenweg,32A
50.9594034183,3.07076261639,Diksmuidesteenweg,34
50.9595018655,3.07026577265,Diksmuidesteenweg,36
50.9594108291,3.07024480354,Diksmuidesteenweg,38
50.9594993813,3.06987791949,Diksmuidesteenweg,38A
50.9577593678,3.0783092996,Diksmuidesteenweg,4
50.9596064562,3.06923463315,Diksmuidesteenweg,40
50.9595600204,3.06812439677,Diksmuidesteenweg,42
50.9599004453,3.06722593336,Diksmuidesteenweg,44
50.9600685408,3.06690651523,Diksmuidesteenweg,46
50.9601110937,3.06665720328,Diksmuidesteenweg,48
50.9603834069,3.06497606689,Diksmuidesteenweg,50
50.9607776322,3.06396146755,Diksmuidesteenweg,52
50.960952821,3.06313972583,Diksmuidesteenweg,54
50.9609066825,3.06187527653,Diksmuidesteenweg,56
50.9576686069,3.07775620067,Diksmuidesteenweg,6
50.9608815069,3.06167282852,Diksmuidesteenweg,60
50.9609149127,3.06151558511,Diksmuidesteenweg,62
50.9609727987,3.06063289712,Diksmuidesteenweg,64
50.9597487163,3.05909682282,Diksmuidesteenweg,68
50.9609357938,3.05825350425,Diksmuidesteenweg,70
50.960845111,3.05775620745,Diksmuidesteenweg,72
50.9608692051,3.05714323839,Diksmuidesteenweg,74
50.9611670575,3.05686855113,Diksmuidesteenweg,76
50.9580143723,3.07784519364,Diksmuidesteenweg,8
50.9610991782,3.05541835703,Diksmuidesteenweg,84
