lat,lon,addr:street,addr:housenumber
50.9439197061,3.0763538472,Doornkouter,10
50.94390057,3.07688689488,Doornkouter,11
50.9443596342,3.07761569548,Doornkouter,15
50.9441451533,3.0782904524,Doornkouter,17
50.9430298517,3.07712631508,Doornkouter,2
50.9430978504,3.07761198621,Doornkouter,3
50.9432218162,3.0770212746,Doornkouter,4
50.9433815251,3.07759749338,Doornkouter,5
50.9434828484,3.07683620507,Doornkouter,6
50.9437395907,3.07788947871,Doornkouter,7
50.9436745329,3.07610857071,Doornkouter,8
50.9438744487,3.07702978064,Doornkouter,9
