lat,lon,addr:street,addr:housenumber
50.9432289206,3.06516859221,Engels Hof,1
50.9428148371,3.06550341376,Engels Hof,10
50.9428215464,3.06539493242,Engels Hof,11
50.942828205,3.06526567574,Engels Hof,12
50.9432222935,3.06527636071,Engels Hof,2
50.9432158303,3.06538270155,Engels Hof,3
50.943209367,3.06548904237,Engels Hof,4
50.943202902,3.06559524089,Engels Hof,5
50.943196448,3.06570243522,Engels Hof,6
50.9427875763,3.06593976975,Engels Hof,7
50.9427972158,3.06578737691,Engels Hof,8
50.9428066691,3.06563441995,Engels Hof,9
