lat,lon,addr:street,addr:housenumber,fixme
50.9343760559,3.01449646801,Frambozenweg,1,
50.934714292,3.01521491538,Frambozenweg,10,
50.9342858063,3.01522399896,Frambozenweg,11,
50.9347244899,3.01538223111,Frambozenweg,12,
50.9342658132,3.01538506956,Frambozenweg,13,
50.9347049027,3.01550828975,Frambozenweg,14,
50.9346933704,3.01564677929,Frambozenweg,16,
50.9347955436,3.0146350432,Frambozenweg,2,
50.9343633676,3.01462816066,Frambozenweg,3,
50.9347746523,3.01478831614,Frambozenweg,4,
50.9343440642,3.01476317426,Frambozenweg,5,
50.934753846,3.01494898523,Frambozenweg,6,
50.934323686,3.01492197987,Frambozenweg,7,
50.9347348281,3.01507758883,Frambozenweg,8,
50.9343081426,3.01506342977,Frambozenweg,9,
