lat,lon,addr:street,addr:housenumber
50.9396965283,3.05983893362,G. Gezellestraat,10
50.9396703097,3.0593252617,G. Gezellestraat,11
50.9396065363,3.05946791464,G. Gezellestraat,13
50.9394885643,3.05990264798,G. Gezellestraat,14
50.9395314246,3.05935133475,G. Gezellestraat,15
50.9394263811,3.05940492274,G. Gezellestraat,17
50.9393959732,3.0592175134,G. Gezellestraat,17A
50.938997596,3.05937889198,G. Gezellestraat,18
50.9393542832,3.05912305377,G. Gezellestraat,19
50.9394681775,3.05907306024,G. Gezellestraat,19A
50.9400944832,3.05986568647,G. Gezellestraat,2
50.9391075893,3.0593580365,G. Gezellestraat,20
50.9393587129,3.05898803363,G. Gezellestraat,21
50.9390489685,3.05925295069,G. Gezellestraat,22
50.9390070585,3.05911452875,G. Gezellestraat,24
50.9389662638,3.05898745951,G. Gezellestraat,26
50.9399853974,3.05949163949,G. Gezellestraat,3
50.9399700937,3.05999053543,G. Gezellestraat,4
50.9399112652,3.05926119322,G. Gezellestraat,5
50.9398014248,3.05927962597,G. Gezellestraat,7
50.9398589992,3.06003361891,G. Gezellestraat,8
50.9397282453,3.059296182,G. Gezellestraat,9
