lat,lon,addr:street,addr:housenumber
50.9378969602,3.0200908611,Hoogledestraat,1
50.9407886265,3.02084094003,Hoogledestraat,10
50.9365076377,3.01945789903,Hoogledestraat,1A
50.9366443984,3.01953720658,Hoogledestraat,1B
50.9367396423,3.01957914755,Hoogledestraat,1C
50.9368343519,3.01962153092,Hoogledestraat,1D
50.936933686,3.01966733879,Hoogledestraat,1E
50.9370393622,3.01971737556,Hoogledestraat,1F
50.9397483762,3.01994544937,Hoogledestraat,2
50.9366741699,3.01890387551,Hoogledestraat,2A
50.9402852168,3.019812481,Hoogledestraat,4
50.9407016284,3.02043603001,Hoogledestraat,8
