lat,lon,addr:street,addr:housenumber
50.9704487896,3.00860089325,Hospitaalstraat,1
50.9705074766,3.00747187208,Hospitaalstraat,10
50.9719274998,3.00750584088,Hospitaalstraat,11
50.9707216422,3.00734818189,Hospitaalstraat,12
50.9707613392,3.00640481489,Hospitaalstraat,14
50.9723739647,3.00778451322,Hospitaalstraat,15
50.9708023476,3.00573822034,Hospitaalstraat,16
50.9723643014,3.00794399445,Hospitaalstraat,19
50.969740529,3.00788015095,Hospitaalstraat,2
50.9724138525,3.00810830799,Hospitaalstraat,21
50.9716419378,3.00685953612,Hospitaalstraat,24
50.9717600382,3.00694951851,Hospitaalstraat,26
50.9719730718,3.00707761287,Hospitaalstraat,28
50.9711446359,3.00825591217,Hospitaalstraat,3
50.9720692506,3.00715342358,Hospitaalstraat,30
50.9698363361,3.00733329812,Hospitaalstraat,4
50.9712025746,3.00807267871,Hospitaalstraat,5
50.9701738447,3.00772162708,Hospitaalstraat,6
50.9713992015,3.00804162785,Hospitaalstraat,7
50.9703478078,3.0075811643,Hospitaalstraat,8
50.971798204,3.00801794789,Hospitaalstraat,9
