lat,lon,addr:street,addr:housenumber
50.9743648908,3.01403479913,Ieperstraat,1
50.9739383722,3.01415961769,Ieperstraat,10
50.9707956571,3.01076503326,Ieperstraat,100
50.9711722795,3.0092861868,Ieperstraat,101
50.9708002667,3.00925695746,Ieperstraat,105
50.9705497873,3.01040122037,Ieperstraat,106
50.9704774391,3.01029452818,Ieperstraat,108
50.9741022074,3.01377922654,Ieperstraat,11
50.9703557002,3.01015395385,Ieperstraat,110
50.9696668782,3.00825178913,Ieperstraat,111
50.9700738839,3.00980727923,Ieperstraat,112
50.970183137,3.0096296845,Ieperstraat,114
50.9695402045,3.00797239368,Ieperstraat,115
50.969941655,3.00946695275,Ieperstraat,118
50.9693011827,3.00773498963,Ieperstraat,119
50.9738605165,3.01412868675,Ieperstraat,12
50.9698518502,3.00929683612,Ieperstraat,120
50.9691770853,3.0075151836,Ieperstraat,121
50.9697926472,3.00905962168,Ieperstraat,122
50.9699115337,3.00902328297,Ieperstraat,122A
50.9697741847,3.0088702087,Ieperstraat,124
50.9697248707,3.0087963143,Ieperstraat,126
50.969044638,3.00692356175,Ieperstraat,127
50.9695463711,3.00887111835,Ieperstraat,128
50.9689776822,3.00684804695,Ieperstraat,129
50.969261977,3.00836406032,Ieperstraat,130
50.9689589072,3.0067251421,Ieperstraat,131
50.9693562175,3.00846669456,Ieperstraat,132
50.9688480901,3.00660419849,Ieperstraat,133
50.9687944491,3.00636640365,Ieperstraat,135
50.9689840511,3.00811326076,Ieperstraat,136
50.9674386509,3.00397744214,Ieperstraat,137
50.9688401972,3.00811301991,Ieperstraat,138
50.9740907788,3.01353633257,Ieperstraat,13A
50.9740340208,3.01383844249,Ieperstraat,13B
50.9737427684,3.01428744823,Ieperstraat,14
50.9687552647,3.00801453146,Ieperstraat,140
50.9672877503,3.00350940744,Ieperstraat,141
50.9687972544,3.00768838605,Ieperstraat,142
50.9685718813,3.00764380935,Ieperstraat,144
50.9670085302,3.00338042099,Ieperstraat,145
50.9683765366,3.00720295636,Ieperstraat,146
50.9669580473,3.00303576082,Ieperstraat,147
50.9683366244,3.00728897681,Ieperstraat,148
50.9645689224,2.9988355116,Ieperstraat,149
50.9740848121,3.01324472145,Ieperstraat,15
50.9681708919,3.0067967209,Ieperstraat,150
50.9627340492,2.99873903995,Ieperstraat,151
50.9680328499,3.00650641997,Ieperstraat,152
50.9625981648,2.99835790166,Ieperstraat,153
50.9678639782,3.00631782438,Ieperstraat,154
50.9621239391,2.99831466627,Ieperstraat,155
50.9599167724,2.99308276449,Ieperstraat,157
50.9677027493,3.00597409455,Ieperstraat,158
50.9563211072,2.99067985379,Ieperstraat,159
50.9676224219,3.00576883323,Ieperstraat,160
50.9513696118,2.98124443516,Ieperstraat,161
50.9674695544,3.00554161811,Ieperstraat,164
50.9673713571,3.00532278207,Ieperstraat,166
50.9738971278,3.01364630943,Ieperstraat,17
50.9672287836,3.00500642372,Ieperstraat,170
50.9667171044,3.00388083009,Ieperstraat,172
50.9665814182,3.00363148354,Ieperstraat,174
50.9663662051,3.0034089427,Ieperstraat,176
50.9651022164,3.00074059018,Ieperstraat,178
50.9738113199,3.01368994302,Ieperstraat,17A
50.9736265352,3.01401554309,Ieperstraat,18
50.9649332825,3.00070209251,Ieperstraat,180
50.9636945871,3.00001055622,Ieperstraat,184
50.9633881787,3.00007971983,Ieperstraat,184A
50.9631399375,2.99979325329,Ieperstraat,188
50.9734936506,3.01480415397,Ieperstraat,18A
50.9738061144,3.01354242251,Ieperstraat,19
50.9628956281,2.99975966543,Ieperstraat,190
50.9626551595,2.99949219647,Ieperstraat,192
50.9624270118,2.99928687006,Ieperstraat,194
50.9623602,2.99909292247,Ieperstraat,196
50.9621158561,2.99890971204,Ieperstraat,198
50.9742492185,3.01445196472,Ieperstraat,2
50.9735378224,3.01412704263,Ieperstraat,20
50.9620138922,2.99874683229,Ieperstraat,200
50.961969322,2.99852504547,Ieperstraat,202
50.9617866256,2.99834715685,Ieperstraat,204
50.9614230956,2.99832104662,Ieperstraat,206
50.9590887336,2.99713278811,Ieperstraat,208
50.9737707971,3.01336430142,Ieperstraat,21
50.9593657695,2.99749012311,Ieperstraat,210
50.9569638175,2.99414901729,Ieperstraat,212
50.9556058331,2.99087438541,Ieperstraat,214
50.9526866104,2.98598679688,Ieperstraat,216
50.950133584,2.98142972195,Ieperstraat,218
50.9734893488,3.01411021542,Ieperstraat,22
50.9503648915,2.98093226435,Ieperstraat,220
50.9501772621,2.98085682739,Ieperstraat,222
50.973599429,3.01363696874,Ieperstraat,23
50.9734463948,3.01408083993,Ieperstraat,24
50.973545452,3.01354824599,Ieperstraat,25
50.9734020836,3.01407414542,Ieperstraat,26
50.9734777511,3.01357156248,Ieperstraat,27
50.9733307889,3.01433195623,Ieperstraat,28
50.9734890733,3.01307938193,Ieperstraat,29
50.9743146118,3.01384557314,Ieperstraat,3
50.9732461703,3.01408064262,Ieperstraat,30
50.9732423555,3.01349178506,Ieperstraat,31
50.9728852057,3.01352731044,Ieperstraat,32
50.973187512,3.01343712183,Ieperstraat,33
50.9728192116,3.01348806412,Ieperstraat,34
50.9727628249,3.01337748323,Ieperstraat,36
50.9730387152,3.01324191985,Ieperstraat,37
50.9727326945,3.01332965361,Ieperstraat,38
50.9728630375,3.01310146545,Ieperstraat,39
50.9741125669,3.01456969086,Ieperstraat,4
50.9727017832,3.01328426739,Ieperstraat,40
50.9729607798,3.01274378056,Ieperstraat,41
50.9726071711,3.01325823736,Ieperstraat,42
50.9727789238,3.01280058705,Ieperstraat,43
50.9725617705,3.01314919087,Ieperstraat,44
50.9727350881,3.01251534799,Ieperstraat,45
50.9725211379,3.01311063625,Ieperstraat,46
50.9726866,3.01244270286,Ieperstraat,47
50.9724619845,3.01307987936,Ieperstraat,48
50.9727428355,3.01175257801,Ieperstraat,49
50.9742301676,3.01391394553,Ieperstraat,5
50.9724000474,3.01299480705,Ieperstraat,50
50.9724349544,3.01211548761,Ieperstraat,51
50.9723865717,3.01294108546,Ieperstraat,52
50.9722960024,3.01213488592,Ieperstraat,53
50.972272654,3.01306541648,Ieperstraat,54
50.9723295934,3.01194481024,Ieperstraat,55
50.9722338006,3.01301741252,Ieperstraat,56
50.9722907435,3.01188157049,Ieperstraat,57
50.9722506715,3.01287424269,Ieperstraat,58
50.9722248349,3.01177183783,Ieperstraat,59
50.9740889355,3.01430536147,Ieperstraat,6
50.9721722334,3.01290983127,Ieperstraat,60
50.9723580969,3.01137610353,Ieperstraat,61
50.9721308043,3.01285677571,Ieperstraat,62
50.9720818981,3.01153930991,Ieperstraat,63
50.9722006315,3.01249534642,Ieperstraat,64
50.9720240836,3.01146878784,Ieperstraat,65
50.9722551807,3.01098108136,Ieperstraat,67
50.9720632745,3.01245033404,Ieperstraat,68
50.9718887238,3.01123846324,Ieperstraat,69
50.9718274327,3.0127999017,Ieperstraat,70
50.9717857323,3.0111174174,Ieperstraat,71
50.9717292464,3.01269779473,Ieperstraat,72
50.9717148857,3.01113299582,Ieperstraat,73
50.9717323645,3.01256271337,Ieperstraat,74
50.9717414222,3.01097060836,Ieperstraat,75
50.9716976555,3.01249209201,Ieperstraat,76
50.9718011295,3.01075329218,Ieperstraat,77
50.9716645819,3.01241515804,Ieperstraat,78
50.9718876508,3.01041330764,Ieperstraat,79
50.974010879,3.01432726736,Ieperstraat,8
50.9716531268,3.01231837556,Ieperstraat,80
50.9718172699,3.010329054,Ieperstraat,81
50.9715985824,3.01227410176,Ieperstraat,82
50.9716399112,3.01049495565,Ieperstraat,83
50.9715023947,3.01218162143,Ieperstraat,84
50.9715871828,3.01044450837,Ieperstraat,85
50.9716035455,3.01190145182,Ieperstraat,86
50.9713746726,3.01064175677,Ieperstraat,87
50.9709406772,3.0124874968,Ieperstraat,88
50.971292333,3.01050288573,Ieperstraat,89
50.974200473,3.01354483977,Ieperstraat,9
50.9713465043,3.01181590443,Ieperstraat,90
50.9712430962,3.01027206642,Ieperstraat,91
50.9711992365,3.01157425043,Ieperstraat,92
50.9711629166,3.01011006599,Ieperstraat,93
50.9711795495,3.01133289247,Ieperstraat,94
50.9713805868,3.0096201876,Ieperstraat,95
50.9710265596,3.01136679585,Ieperstraat,96
50.9712139815,3.00958058863,Ieperstraat,97
50.9710417054,3.01112884476,Ieperstraat,98
50.9709397306,3.00977991317,Ieperstraat,99
