lat,lon,addr:street,addr:housenumber,fixme
50.9796323538,2.99600007537,Klerkenstraat,1,
50.9791063477,2.99532545501,Klerkenstraat,10,
50.9797092867,2.99534283076,Klerkenstraat,11,
50.9789990043,2.99521039166,Klerkenstraat,12,
50.979472942,2.99536000727,Klerkenstraat,13,
50.9785951624,2.99538927608,Klerkenstraat,14,
50.9793552204,2.99529552103,Klerkenstraat,15,
50.9792620071,2.99099063577,Klerkenstraat,16,
50.979387026,2.99503182519,Klerkenstraat,17,
50.9804810552,2.98685032306,Klerkenstraat,18,
50.9809278555,2.99256233654,Klerkenstraat,19,
50.979770134,2.99578027435,Klerkenstraat,1A,
50.9799201437,2.99555299283,Klerkenstraat,1B,
50.9791397685,2.9962248483,Klerkenstraat,2,
50.9819711936,2.98092370633,Klerkenstraat,20,
50.9800137766,2.99177123584,Klerkenstraat,21,
50.9809255334,2.98772908671,Klerkenstraat,23,
50.9840922067,2.97978939071,Klerkenstraat,25,
50.9843957935,2.97843167603,Klerkenstraat,27,
50.9800328093,2.99514578577,Klerkenstraat,3,
50.9846834566,2.97815436853,Klerkenstraat,31,
50.9790326951,2.9960634889,Klerkenstraat,4,
50.9801447582,2.99470811941,Klerkenstraat,5,
50.9791555548,2.99596732009,Klerkenstraat,6,
50.9808076895,2.99471219331,Klerkenstraat,7,
50.9791115416,2.99577050406,Klerkenstraat,8,
50.9794198894,2.99628401368,Klerkenstraat,9,
