lat,lon,addr:street,addr:housenumber,fixme
50.9349566944,3.01051553587,Krommen Bosweg,1,
50.9360466441,3.00934854023,Krommen Bosweg,11,
50.9359814907,3.00977102876,Krommen Bosweg,13,
50.9347696891,3.00959012735,Krommen Bosweg,2,
50.9352259925,3.01006637481,Krommen Bosweg,3,
50.9349213783,3.00949808785,Krommen Bosweg,4,
50.9354854311,3.01038228057,Krommen Bosweg,5,
50.9350735772,3.00940347187,Krommen Bosweg,6,
50.9356666048,3.01027416424,Krommen Bosweg,7,
50.9358350858,3.00951915123,Krommen Bosweg,9,
