lat,lon,addr:street,addr:housenumber
50.9412694227,3.05886014428,Lepelstraat,1
50.9408485297,3.05827565251,Lepelstraat,10
50.9413193613,3.0582344721,Lepelstraat,11
50.9407797913,3.05819859521,Lepelstraat,12
50.9413141739,3.05816431982,Lepelstraat,13
50.9407724152,3.05805308573,Lepelstraat,14
50.9413104278,3.0580702206,Lepelstraat,15
50.9407942225,3.05790434209,Lepelstraat,16
50.9413064331,3.05796189813,Lepelstraat,17
50.9407957552,3.05780796196,Lepelstraat,18
50.9412953754,3.05784907701,Lepelstraat,19
50.9408545368,3.05767739579,Lepelstraat,20
50.9412841241,3.05774309183,Lepelstraat,21
50.9406988193,3.05767747678,Lepelstraat,22
50.9411527695,3.05766237636,Lepelstraat,23
50.9406987361,3.05756520438,Lepelstraat,24
50.941170368,3.05756355442,Lepelstraat,25
50.941163197,3.05747680858,Lepelstraat,25A
50.9407383497,3.05736857725,Lepelstraat,26
50.9412328993,3.05730167998,Lepelstraat,27
50.9412227026,3.05715325971,Lepelstraat,29
50.9412582635,3.05872199619,Lepelstraat,3
50.941113968,3.05708543241,Lepelstraat,31
50.9411128975,3.05695724885,Lepelstraat,33
50.9410844096,3.05677305351,Lepelstraat,35
50.9409675117,3.05850470747,Lepelstraat,4
50.9413392869,3.05858639764,Lepelstraat,5
50.9412924376,3.05844853433,Lepelstraat,7
50.9408569335,3.05836819777,Lepelstraat,8
50.9413288966,3.05831560254,Lepelstraat,9
