lat,lon,addr:street,addr:housenumber
50.9403840823,3.06779689099,Merelstraat,1
50.9399770857,3.06733474869,Merelstraat,10
50.9403025776,3.06659046668,Merelstraat,11
50.9399901088,3.06710614229,Merelstraat,12
50.9400054901,3.06690379539,Merelstraat,14
50.9399745738,3.06671810089,Merelstraat,16
50.940059511,3.06802360334,Merelstraat,2
50.9403433371,3.06754344819,Merelstraat,3
50.9400365102,3.06785433736,Merelstraat,4
50.9403823899,3.06727029026,Merelstraat,5
50.9400092391,3.06768917425,Merelstraat,6
50.9403410963,3.06702426263,Merelstraat,7
50.939982056,3.06752386659,Merelstraat,8
50.9403352553,3.06678906271,Merelstraat,9
