lat,lon,addr:street,addr:housenumber
50.9354994165,3.01489134015,Mispelweg,1
50.9350924624,3.0141159604,Mispelweg,10
50.9351756661,3.01415055313,Mispelweg,12
50.9352500352,3.01417529871,Mispelweg,14
50.9353364649,3.0141699587,Mispelweg,16
50.9354320772,3.01417345993,Mispelweg,18
50.9343868947,3.01399361391,Mispelweg,2
50.9355025423,3.01419490349,Mispelweg,20
50.9355598409,3.01421288536,Mispelweg,22
50.9356304024,3.0142348954,Mispelweg,24
50.935717784,3.01430437064,Mispelweg,26
50.9358126308,3.01433507103,Mispelweg,28
50.9355703955,3.01494962205,Mispelweg,3
50.9344637073,3.01402753667,Mispelweg,4
50.9356425992,3.01497372013,Mispelweg,5
50.9345366548,3.01405374554,Mispelweg,6
50.9357232238,3.01500298229,Mispelweg,7
50.9346179364,3.01407757972,Mispelweg,8
