lat,lon,addr:street,addr:housenumber
50.981837874,3.00490071023,Nijverheidstraat,10
50.9850542529,2.99772562764,Nijverheidstraat,11
50.9817620408,3.00331557202,Nijverheidstraat,12
50.984114269,2.99483407178,Nijverheidstraat,14
50.983779492,2.99343635832,Nijverheidstraat,16
50.9818281107,3.00619992572,Nijverheidstraat,2
50.9824363685,3.00309325925,Nijverheidstraat,3
50.9825257177,3.00294452485,Nijverheidstraat,5
50.9818930682,3.00538876855,Nijverheidstraat,6
50.9833094658,3.00141434432,Nijverheidstraat,7
50.9818033969,3.0051607871,Nijverheidstraat,8
50.9846374436,2.99990340466,Nijverheidstraat,9
