lat,lon,addr:street,addr:housenumber
49.2933351651,2.30668956214,Ommegang West,1
50.9319377644,3.0058237244,Ommegang West,12
50.932799054,3.00704691962,Ommegang West,13
50.9324596683,3.00620267739,Ommegang West,14
50.9331342509,3.00658304147,Ommegang West,15
50.9326407953,3.0061218704,Ommegang West,16
50.9332417212,3.00674084044,Ommegang West,17
50.9327642842,3.00605596792,Ommegang West,18
50.9333011264,3.00691725045,Ommegang West,19
50.9330242142,3.00589362282,Ommegang West,20
50.9335788471,3.00670729732,Ommegang West,22
50.9335126746,3.00722725892,Ommegang West,25
50.9330444688,3.00745539582,Ommegang West,27
50.9331032684,3.00768830817,Ommegang West,29
50.9294050921,3.00936730427,Ommegang West,3
50.9332486112,3.00780147406,Ommegang West,31
50.9335035041,3.00782510068,Ommegang West,33
50.9335678165,3.00794403185,Ommegang West,35
50.9301752564,3.00658809647,Ommegang West,4
50.9299120816,3.01036259001,Ommegang West,5
50.9297701235,3.00901016731,Ommegang West,7
50.9316145681,3.00622123265,Ommegang West,8
50.9307505137,3.00716453385,Ommegang West,9
