lat,lon,addr:street,addr:housenumber,fixme
50.9730680254,3.01845688988,Oude Tramweg,1,
50.9731800008,3.01799841317,Oude Tramweg,10,
50.9735927433,3.01834138936,Oude Tramweg,11,
50.9734116069,3.01792851663,Oude Tramweg,12,
50.9736851988,3.01832847425,Oude Tramweg,13,
50.973366426,3.01775210208,Oude Tramweg,14,
50.9737776462,3.0183226794,Oude Tramweg,15,
50.9736965968,3.01799777444,Oude Tramweg,17,
50.9736583498,3.01786145862,Oude Tramweg,19,
50.9729514129,3.01818242632,Oude Tramweg,2,
50.9736248023,3.01769595777,Oude Tramweg,21,
50.9731683444,3.01842409754,Oude Tramweg,3,
50.9729186845,3.01803342246,Oude Tramweg,4,
50.9732612298,3.01840946152,Oude Tramweg,5,
50.9728728453,3.01787012934,Oude Tramweg,6,
50.9733672159,3.01840042906,Oude Tramweg,7,
50.973133748,3.0178147679,Oude Tramweg,8,
50.973488205,3.01837473087,Oude Tramweg,9,
