lat,lon,addr:street,addr:housenumber,fixme
50.952037663,2.98118639074,Rekestraat,1,
50.9573944894,2.97518847102,Rekestraat,10,
50.9567070228,2.97894689773,Rekestraat,11,
50.9593844655,2.97648262692,Rekestraat,12,
50.9589849154,2.97850444198,Rekestraat,13,
50.9605930953,2.9761178966,Rekestraat,14,
50.9601802876,2.97711714713,Rekestraat,15,
50.962002853,2.97513883821,Rekestraat,16,
50.9611834256,2.97701378523,Rekestraat,17,
50.963971533,2.9732857296,Rekestraat,18,
50.961510155,2.97696095476,Rekestraat,19,
50.9506700754,2.98055445291,Rekestraat,1A,
50.9527771523,2.9801272942,Rekestraat,2,
50.9674264186,2.97450625806,Rekestraat,20,
50.9645164028,2.97686976145,Rekestraat,21,
50.9686194257,2.97412123226,Rekestraat,22,
50.965382269,2.9757350871,Rekestraat,23,
50.9691907975,2.97556359144,Rekestraat,25,
50.969301546,2.97500042532,Rekestraat,27,
50.9529100761,2.98131132779,Rekestraat,3,
50.954662544,2.97876675546,Rekestraat,4,
50.9529956135,2.980918075,Rekestraat,5,
50.9554155076,2.97900124203,Rekestraat,6,
50.9539156841,2.98056361284,Rekestraat,7,
50.9565211575,2.97847310868,Rekestraat,8,
50.9548605692,2.98116140669,Rekestraat,9,
