lat,lon,addr:street,addr:housenumber
50.9373560402,3.06492475399,Roterijstraat,1
50.9380710545,3.06423469705,Roterijstraat,10
50.937846593,3.06543760415,Roterijstraat,11
50.9381553034,3.06447837848,Roterijstraat,12
50.93805237,3.0653872105,Roterijstraat,13
50.9382416286,3.0647309675,Roterijstraat,14
50.9382226257,3.06527932073,Roterijstraat,15
50.9383862649,3.06517474438,Roterijstraat,17
50.9372550829,3.06435000596,Roterijstraat,2
50.9375021033,3.06472703973,Roterijstraat,3
50.9376822818,3.06467891975,Roterijstraat,5
50.9376109503,3.06398695114,Roterijstraat,6
50.937839438,3.06454919482,Roterijstraat,7
50.9377795655,3.06381236841,Roterijstraat,8
50.9378571392,3.06499407434,Roterijstraat,9
