lat,lon,addr:street,addr:housenumber
50.9364615482,3.06221897179,Sint-Patricksstraat,1
50.9368516868,3.0627398429,Sint-Patricksstraat,10
50.9361501754,3.06309871435,Sint-Patricksstraat,11
50.9367543818,3.06284272108,Sint-Patricksstraat,12
50.9362271442,3.06322093153,Sint-Patricksstraat,13
50.9365276345,3.06290722523,Sint-Patricksstraat,14
50.9362868328,3.06344678739,Sint-Patricksstraat,15
50.9366195905,3.06314840535,Sint-Patricksstraat,16
50.9363532311,3.06362109176,Sint-Patricksstraat,17
50.9367161977,3.06338746503,Sint-Patricksstraat,18
50.9364195361,3.06379511464,Sint-Patricksstraat,19
50.937187052,3.06225554991,Sint-Patricksstraat,2
50.9368128658,3.0636239628,Sint-Patricksstraat,20
50.9364859323,3.06396927776,Sint-Patricksstraat,21
50.9369449198,3.0632578822,Sint-Patricksstraat,22
50.9365524197,3.06414358112,Sint-Patricksstraat,23
50.9370607506,3.06312304333,Sint-Patricksstraat,24
50.9366188153,3.06431774522,Sint-Patricksstraat,25
50.937216381,3.06302608384,Sint-Patricksstraat,26
50.9367447059,3.06448982974,Sint-Patricksstraat,27
50.9372902782,3.0628555573,Sint-Patricksstraat,28
50.937093148,3.06395993918,Sint-Patricksstraat,29
50.9363399368,3.06231896957,Sint-Patricksstraat,3
50.9372086106,3.06382425814,Sint-Patricksstraat,31
50.9373241613,3.06368843169,Sint-Patricksstraat,33
50.9374395321,3.06355260957,Sint-Patricksstraat,35
50.9371094395,3.0623829246,Sint-Patricksstraat,4
50.9362240467,3.06244029283,Sint-Patricksstraat,5
50.9370195032,3.06247734627,Sint-Patricksstraat,6
50.9361079119,3.06255578857,Sint-Patricksstraat,7
50.9369259291,3.06257613746,Sint-Patricksstraat,8
50.9359782826,3.06274337115,Sint-Patricksstraat,9
