lat,lon,addr:street,addr:housenumber
50.9563375623,2.98808903006,Soetestraat,1
50.9609323919,2.9819910234,Soetestraat,10
50.9642969441,2.98301545592,Soetestraat,11
50.9604743899,2.98096858935,Soetestraat,12
50.9660022648,2.98410325605,Soetestraat,13
50.9611658429,2.98328462415,Soetestraat,14
50.9670747953,2.98257842696,Soetestraat,15
50.9619629808,2.98174501255,Soetestraat,16
50.9679664034,2.9826695444,Soetestraat,17
50.9681689834,2.98235828209,Soetestraat,17A
50.9684081049,2.98243180483,Soetestraat,17B
50.9620064793,2.98246809135,Soetestraat,18
50.9687044843,2.98295443528,Soetestraat,19
50.9552233872,2.98694518177,Soetestraat,2
50.962350764,2.98284430453,Soetestraat,20
50.9687736552,2.98268242416,Soetestraat,21
50.9648911839,2.98204996063,Soetestraat,22
50.9689821509,2.98293427055,Soetestraat,23
50.9657874814,2.98092999324,Soetestraat,24
50.9694849382,2.98308900104,Soetestraat,25
50.9677899681,2.98101924918,Soetestraat,26
50.9696414174,2.98323744776,Soetestraat,27
50.9679957108,2.98144900398,Soetestraat,28
50.9697496781,2.98349041067,Soetestraat,29
50.9582510319,2.98600428924,Soetestraat,3
50.9678871346,2.98142886427,Soetestraat,30
50.9681504923,2.98149141321,Soetestraat,32
50.9684140757,2.98164935534,Soetestraat,34
50.968564852,2.9819773705,Soetestraat,36
50.9687233369,2.98181534609,Soetestraat,36A
50.9689157106,2.98188156354,Soetestraat,36B
50.9691917816,2.98238201427,Soetestraat,38
50.9623283977,2.98364749524,Soetestraat,5
50.9608060444,2.9834994,Soetestraat,6
50.9629633845,2.98408774682,Soetestraat,7
50.960720243,2.98181848645,Soetestraat,8
50.9635347875,2.98317493318,Soetestraat,9
