lat,lon,addr:street,addr:housenumber
50.9391465562,3.05849791276,Spanjestraat,1
50.938087115,3.05790282593,Spanjestraat,10
50.9314865184,3.05187027867,Spanjestraat,103
50.9283387012,3.05093258065,Spanjestraat,109
50.9389325793,3.05773990623,Spanjestraat,11
50.9279487699,3.0505634035,Spanjestraat,111
50.9268783843,3.04921369418,Spanjestraat,115
50.9376131038,3.05769921337,Spanjestraat,14
50.9374802442,3.05754000214,Spanjestraat,16
50.937525848,3.05736456467,Spanjestraat,18
50.9386822663,3.05877924035,Spanjestraat,2
50.937482578,3.05711249691,Spanjestraat,20
50.9385501152,3.05735287903,Spanjestraat,21
50.9374408975,3.0571076855,Spanjestraat,22
50.9384842012,3.05733565341,Spanjestraat,23
50.9373119859,3.05689145025,Spanjestraat,24
50.9384269,3.05727649529,Spanjestraat,25
50.9371870515,3.05668520755,Spanjestraat,26
50.9383417966,3.05719933154,Spanjestraat,27
50.9370671847,3.05652222241,Spanjestraat,28
50.9381609496,3.05731622689,Spanjestraat,29
50.9390685567,3.05841272108,Spanjestraat,3
50.9369659947,3.05641349705,Spanjestraat,30
50.9382644658,3.05708552394,Spanjestraat,31
50.9368286797,3.05634661904,Spanjestraat,32
50.938177978,3.05698904773,Spanjestraat,33
50.9368029804,3.05620291504,Spanjestraat,34
50.9368013385,3.05608002389,Spanjestraat,36
50.937985276,3.05681699549,Spanjestraat,37
50.9367116893,3.05605478494,Spanjestraat,38
50.9377749938,3.05662451932,Spanjestraat,39
50.9386532682,3.05863775591,Spanjestraat,4
50.9366657827,3.05596941552,Spanjestraat,40
50.9376187468,3.05630332612,Spanjestraat,41
50.936629447,3.05576696031,Spanjestraat,42
50.9375483723,3.05619259988,Spanjestraat,43
50.9364790745,3.05559359218,Spanjestraat,44
50.9373207961,3.05611814337,Spanjestraat,45
50.9373601297,3.05592082549,Spanjestraat,47
50.9362666597,3.05536333902,Spanjestraat,48
50.9372545574,3.05581421537,Spanjestraat,49
50.9391095105,3.05834427208,Spanjestraat,5
50.9361330494,3.05525794411,Spanjestraat,50
50.9371724707,3.05567721024,Spanjestraat,51
50.9370700025,3.05530927145,Spanjestraat,55
50.93557379,3.05498091486,Spanjestraat,56
50.9369976427,3.0551899239,Spanjestraat,57
50.9369029174,3.05505640468,Spanjestraat,59
50.9385153227,3.05847384253,Spanjestraat,6
50.9324791699,3.05382887814,Spanjestraat,60
50.9368249888,3.05492953024,Spanjestraat,61
50.9367819034,3.05483924492,Spanjestraat,63
50.9315344095,3.05346565843,Spanjestraat,64
50.9367130845,3.05478738651,Spanjestraat,65
50.9366533454,3.0546550237,Spanjestraat,67
50.9305831391,3.05336441165,Spanjestraat,68
50.9365606945,3.05455431687,Spanjestraat,69
50.9394598159,3.05754047831,Spanjestraat,7
50.9304304128,3.05326227394,Spanjestraat,70
50.9364587796,3.05446937915,Spanjestraat,71
50.9299509428,3.05308592507,Spanjestraat,72
50.9270442193,3.05058794844,Spanjestraat,74
50.9353069737,3.05439619779,Spanjestraat,75
50.9269127385,3.05028009409,Spanjestraat,76
50.9350792684,3.05385208057,Spanjestraat,79
50.926199959,3.04998401831,Spanjestraat,80
50.9254672405,3.0505232588,Spanjestraat,82
50.9334055743,3.05347554516,Spanjestraat,85
50.9332682986,3.05262515662,Spanjestraat,87
50.9329696095,3.05329824831,Spanjestraat,89
50.9388211488,3.05823663781,Spanjestraat,9
50.9318468082,3.052587615,Spanjestraat,97
