lat,lon,addr:street,addr:housenumber
50.9739300388,2.9858081524,Tolstraat,1
50.9746128889,2.97843176892,Tolstraat,10
50.9769706323,2.98489220475,Tolstraat,12
50.9777024918,2.98409102777,Tolstraat,14
50.9776576164,2.97949847626,Tolstraat,16
50.9781799168,2.98339746167,Tolstraat,18
50.975069284,2.98375465705,Tolstraat,2
50.9784095065,2.98334880825,Tolstraat,20
50.9785991392,2.98329691994,Tolstraat,22
50.9788674126,2.98254799015,Tolstraat,24
50.9789080337,2.98304269101,Tolstraat,26
50.9790483728,2.98269104133,Tolstraat,26A
50.9797311917,2.98143763299,Tolstraat,28
50.9813947726,2.98047944846,Tolstraat,30
50.9812062316,2.97988470625,Tolstraat,32
50.9765944396,2.98698650157,Tolstraat,34
50.9779989718,2.98733889471,Tolstraat,36
50.9743872382,2.98083185979,Tolstraat,4
50.9746752857,2.97954310609,Tolstraat,6
50.9749552962,2.97927990322,Tolstraat,8
