lat,lon,addr:street,addr:housenumber
50.9767908572,3.00729844801,Tulpenweg,1
50.9774525728,3.0083790949,Tulpenweg,10
50.9769090964,3.00844214131,Tulpenweg,11
50.9773126548,3.00856373335,Tulpenweg,12
50.97682137,3.00859962963,Tulpenweg,13
50.9772402245,3.00869115735,Tulpenweg,14
50.9767344993,3.00875338986,Tulpenweg,15
50.9771679705,3.00881829102,Tulpenweg,16
50.9766420024,3.00891044569,Tulpenweg,17
50.9770799443,3.00897322477,Tulpenweg,18
50.9763974786,3.00924693075,Tulpenweg,19
50.9771117146,3.00770084676,Tulpenweg,2
50.9770072472,3.00910094005,Tulpenweg,20
50.9764998833,3.00938708444,Tulpenweg,21
50.9769493547,3.00920273403,Tulpenweg,22
50.9766069456,3.00953351222,Tulpenweg,23
50.9768901288,3.00930584811,Tulpenweg,24
50.976720862,3.00968956839,Tulpenweg,25
50.97674858,3.00752197929,Tulpenweg,3
50.9771993347,3.00782960808,Tulpenweg,4
50.9767171655,3.00772084259,Tulpenweg,5
50.9772782484,3.00794409642,Tulpenweg,6
50.9767778999,3.00795035581,Tulpenweg,7
50.9774264647,3.00811168816,Tulpenweg,8
50.976993591,3.00821510672,Tulpenweg,9
