lat,lon,addr:street,addr:housenumber,fixme
50.9370793639,3.02855998896,Vijverbosstraat,10,
50.9381108537,3.03085546299,Vijverbosstraat,12,
50.9371991172,3.03201849389,Vijverbosstraat,14,
50.9373413326,3.03264962932,Vijverbosstraat,16,
50.9380876348,3.03377185032,Vijverbosstraat,16B,
50.9386401416,3.03737368922,Vijverbosstraat,18,
50.9332356027,3.01642779822,Vijverbosstraat,2,
50.9361197899,3.0271891319,Vijverbosstraat,3,
50.9334147913,3.01675628085,Vijverbosstraat,4,
50.9340696483,3.02071489142,Vijverbosstraat,6,
50.9376480731,3.03463468728,Vijverbosstraat,7,
50.9362987873,3.0253933242,Vijverbosstraat,8,
