lat,lon,addr:street,addr:housenumber,fixme
50.9728172252,3.01541648896,Vredestraat,10,
50.9731996629,3.01485165893,Vredestraat,11,
50.9728160595,3.01532296647,Vredestraat,12,
50.9728151267,3.01520280865,Vredestraat,14,
50.9727979931,3.01502644367,Vredestraat,16,
50.9731472795,3.0141749199,Vredestraat,17,
50.9727941849,3.01471113996,Vredestraat,18,
50.9729218432,3.01593735704,Vredestraat,2,
50.9728531032,3.01444030458,Vredestraat,20,
50.9728572404,3.0142764261,Vredestraat,22,
50.9728481725,3.01408231319,Vredestraat,24,
50.9728545229,3.01372812548,Vredestraat,26,
50.9729296302,3.01359067604,Vredestraat,28,
50.9728302312,3.01571087961,Vredestraat,2A,
50.9731376889,3.01580268614,Vredestraat,3,
50.9728196791,3.01560637839,Vredestraat,4,
50.9731573723,3.01566142711,Vredestraat,5,
50.9728189816,3.01554573655,Vredestraat,6,
50.9731130685,3.0154677599,Vredestraat,7,
50.9728177268,3.0154835444,Vredestraat,8,
50.9732247049,3.01511366443,Vredestraat,9,
