lat,lon,addr:street,addr:housenumber,fixme
50.9622284655,2.99816497413,Walstraat,1,
50.9629039239,2.99612045919,Walstraat,10,
50.9690848704,2.99431847814,Walstraat,11,
50.9711572991,2.99451661819,Walstraat,13,
50.9722313201,2.99438489916,Walstraat,13A,
50.9639902997,2.99503667599,Walstraat,14,
50.965776275,2.99304119091,Walstraat,16,
50.9760593299,2.99340301577,Walstraat,17,
50.9681377141,2.9933583624,Walstraat,18,
50.9618943082,2.99755800603,Walstraat,2,
50.9685357322,2.99317369089,Walstraat,22,
50.9724399625,2.99315130902,Walstraat,24,
50.9728142625,2.99164641416,Walstraat,26,
50.9735021305,2.9911692479,Walstraat,28,
50.9624270687,2.99802591488,Walstraat,3,
50.9748803046,2.99302760653,Walstraat,30,
50.9751807695,2.99321175363,Walstraat,32,
50.9753884368,2.99297951915,Walstraat,34,
50.9768109879,2.99137695012,Walstraat,36,
50.9781981293,2.98941686277,Walstraat,38,
50.9621079381,2.9971424561,Walstraat,4,
50.9626084122,2.99771737075,Walstraat,5,
50.962196125,2.99700263541,Walstraat,6,
50.9665861856,2.99854337553,Walstraat,7,
50.9623076484,2.99679778149,Walstraat,8,
50.9686062353,2.99427497967,Walstraat,9,
